year,origin_prefecture,destination_prefecture,movers
2017,神奈川県,東京都,21900
2017,埼玉県,東京都,17661
2017,千葉県,東京都,13425
2017,東京都,神奈川県,10517
2017,兵庫県,大阪府,7379
2017,大阪府,京都府,7149
2017,東京都,埼玉県,6561
2017,大阪府,兵庫県,5558
2017,茨城県,東京都,5044
2017,東京都,千葉県,4627
2017,岐阜県,愛知県,4592
2017,静岡県,東京都,3527
2017,京都府,大阪府,3236
2017,三重県,愛知県,3207
2017,奈良県,大阪府,3156
2017,滋賀県,京都府,2953
2017,兵庫県,京都府,2815
2017,栃木県,東京都,2629
2017,群馬県,東京都,2431
2017,静岡県,神奈川県,2187
2017,長野県,東京都,2159
2017,千葉県,神奈川県,2104
2017,愛知県,東京都,2103
2017,北海道,東京都,2090
2017,静岡県,愛知県,2078
2017,埼玉県,神奈川県,2012
2017,千葉県,埼玉県,1966
2017,新潟県,東京都,1932
2017,埼玉県,千葉県,1869
2017,和歌山県,大阪府,1852
2017,茨城県,千葉県,1827
2017,福島県,東京都,1702
2017,大阪府,奈良県,1680
2017,山梨県,東京都,1644
2017,奈良県,京都府,1556
2017,群馬県,埼玉県,1412
2017,佐賀県,福岡県,1404
2017,福岡県,東京都,1396
2017,京都府,滋賀県,1358
2017,愛知県,岐阜県,1348
2017,茨城県,埼玉県,1332
2017,滋賀県,大阪府,1314
2017,大阪府,滋賀県,1282
2017,熊本県,福岡県,1251
2017,大阪府,東京都,1237
2017,長崎県,福岡県,1186
2017,宮城県,東京都,1133
2017,愛知県,京都府,1107
2017,茨城県,神奈川県,1106
2017,栃木県,埼玉県,1105
2017,鹿児島県,福岡県,1082
2017,神奈川県,千葉県,1021
2017,山口県,福岡県,996
2017,大分県,福岡県,993
2017,兵庫県,東京都,981
2017,長野県,神奈川県,971
2017,福島県,宮城県,960
2017,広島県,東京都,923
2017,神奈川県,埼玉県,902
2017,広島県,岡山県,902
2017,広島県,大阪府,870
2017,山形県,宮城県,855
2017,岩手県,宮城県,848
2017,宮崎県,福岡県,837
2017,新潟県,神奈川県,823
2017,富山県,石川県,823
2017,京都府,兵庫県,790
2017,栃木県,神奈川県,756
2017,山口県,広島県,748
2017,兵庫県,岡山県,738
2017,千葉県,茨城県,718
2017,群馬県,神奈川県,715
2017,広島県,京都府,704
2017,大阪府,和歌山県,698
2017,福岡県,熊本県,690
2017,長野県,埼玉県,667
2017,岡山県,大阪府,667
2017,北海道,神奈川県,665
2017,愛知県,三重県,664
2017,三重県,大阪府,664
2017,福島県,神奈川県,663
2017,奈良県,兵庫県,661
2017,福岡県,佐賀県,661
2017,静岡県,千葉県,658
2017,愛知県,神奈川県,652
2017,青森県,東京都,648
2017,長野県,愛知県,638
2017,山形県,東京都,634
2017,山梨県,神奈川県,627
2017,香川県,大阪府,619
2017,福岡県,山口県,618
2017,新潟県,埼玉県,616
2017,愛知県,静岡県,616
2017,富山県,東京都,605
2017,埼玉県,群馬県,604
2017,鹿児島県,東京都,604
2017,岐阜県,東京都,598
2017,岡山県,兵庫県,598
2017,宮城県,山形県,594
2017,香川県,岡山県,586
2017,熊本県,東京都,583
2017,福島県,埼玉県,576
2017,岩手県,東京都,574
2017,愛媛県,広島県,571
2017,青森県,宮城県,570
2017,岡山県,広島県,570
2017,福岡県,長崎県,565
2017,東京都,北海道,562
2017,広島県,福岡県,554
2017,愛知県,大阪府,552
2017,福岡県,京都府,551
2017,秋田県,宮城県,534
2017,静岡県,埼玉県,529
2017,石川県,東京都,526
2017,静岡県,京都府,525
2017,沖縄県,東京都,525
2017,岡山県,京都府,524
2017,三重県,東京都,523
2017,広島県,兵庫県,523
2017,岡山県,東京都,518
2017,栃木県,千葉県,507
2017,東京都,山梨県,502
2017,福岡県,大阪府,500
2017,三重県,京都府,498
2017,東京都,茨城県,497
2017,秋田県,東京都,496
