year,origin_prefecture,destination_prefecture,movers
2019,神奈川県,東京都,22793
2019,埼玉県,東京都,17104
2019,千葉県,東京都,13042
2019,東京都,神奈川県,10288
2019,兵庫県,大阪府,7288
2019,大阪府,京都府,7205
2019,東京都,埼玉県,6233
2019,大阪府,兵庫県,5443
2019,東京都,千葉県,4828
2019,茨城県,東京都,4721
2019,岐阜県,愛知県,4550
2019,京都府,大阪府,3256
2019,静岡県,東京都,3254
2019,奈良県,大阪府,3019
2019,三重県,愛知県,2947
2019,滋賀県,京都府,2893
2019,兵庫県,京都府,2690
2019,栃木県,東京都,2465
2019,群馬県,東京都,2134
2019,長野県,東京都,2123
2019,千葉県,神奈川県,2090
2019,愛知県,東京都,2081
2019,北海道,東京都,2051
2019,静岡県,愛知県,2022
2019,静岡県,神奈川県,2010
2019,埼玉県,神奈川県,1999
2019,埼玉県,千葉県,1979
2019,茨城県,千葉県,1962
2019,千葉県,埼玉県,1859
2019,和歌山県,大阪府,1770
2019,新潟県,東京都,1752
2019,大阪府,奈良県,1643
2019,山梨県,東京都,1541
2019,奈良県,京都府,1504
2019,佐賀県,福岡県,1470
2019,福島県,東京都,1455
2019,愛知県,岐阜県,1396
2019,福岡県,東京都,1351
2019,群馬県,埼玉県,1334
2019,滋賀県,大阪府,1321
2019,京都府,滋賀県,1297
2019,熊本県,福岡県,1296
2019,大阪府,滋賀県,1288
2019,茨城県,埼玉県,1268
2019,大阪府,東京都,1247
2019,栃木県,埼玉県,1169
2019,愛知県,京都府,1155
2019,長崎県,福岡県,1134
2019,宮城県,東京都,1089
2019,大分県,福岡県,1071
2019,鹿児島県,福岡県,1055
2019,福島県,宮城県,1047
2019,茨城県,神奈川県,1035
2019,神奈川県,千葉県,1011
2019,兵庫県,東京都,1006
2019,山口県,福岡県,975
2019,富山県,石川県,937
2019,岩手県,宮城県,931
2019,広島県,岡山県,889
2019,広島県,東京都,880
2019,神奈川県,埼玉県,870
2019,長野県,神奈川県,850
2019,山形県,宮城県,841
2019,広島県,大阪府,824
2019,兵庫県,岡山県,808
2019,京都府,兵庫県,806
2019,宮崎県,福岡県,800
2019,大阪府,和歌山県,773
2019,新潟県,神奈川県,738
2019,千葉県,茨城県,723
2019,愛知県,静岡県,722
2019,栃木県,神奈川県,712
2019,愛知県,三重県,683
2019,山口県,広島県,676
2019,埼玉県,群馬県,675
2019,静岡県,千葉県,672
2019,岡山県,大阪府,671
2019,愛知県,神奈川県,667
2019,福岡県,山口県,666
2019,福岡県,熊本県,660
2019,北海道,神奈川県,650
2019,愛知県,大阪府,646
2019,群馬県,神奈川県,645
2019,東京都,北海道,642
2019,新潟県,埼玉県,640
2019,長野県,愛知県,638
2019,香川県,大阪府,632
2019,岡山県,兵庫県,629
2019,福岡県,佐賀県,625
2019,青森県,宮城県,624
2019,沖縄県,東京都,624
2019,広島県,京都府,620
2019,広島県,福岡県,616
2019,長野県,埼玉県,614
2019,富山県,東京都,612
2019,山梨県,神奈川県,610
2019,岐阜県,東京都,603
2019,岡山県,広島県,600
2019,奈良県,兵庫県,595
2019,香川県,岡山県,593
2019,鹿児島県,東京都,580
2019,三重県,大阪府,578
2019,愛媛県,広島県,577
2019,栃木県,千葉県,575
2019,青森県,東京都,573
2019,福島県,埼玉県,558
2019,茨城県,栃木県,558
2019,秋田県,宮城県,551
2019,静岡県,京都府,551
2019,東京都,茨城県,550
2019,宮城県,山形県,548
2019,福岡県,京都府,548
2019,山形県,東京都,543
2019,島根県,広島県,542
2019,岩手県,東京都,540
2019,福島県,神奈川県,537
2019,東京都,京都府,522
2019,岡山県,東京都,515
2019,福岡県,長崎県,505
2019,東京都,山梨県,500
2019,長野県,千葉県,500
2019,熊本県,東京都,493
2019,岡山県,京都府,487
2019,福岡県,大阪府,480
2019,北海道,青森県,477
2019,石川県,東京都,476
2019,静岡県,埼玉県,474
2019,福島県,千葉県,473
2019,広島県,兵庫県,472
2019,三重県,京都府,468
2019,栃木県,群馬県,467
2019,広島県,山口県,465
2019,京都府,東京都,462
2019,香川県,兵庫県,454
2019,愛媛県,大阪府,452
2019,兵庫県,滋賀県,451
2019,新潟県,千葉県,450
2019,愛媛県,岡山県,450
2019,京都府,奈良県,443
2019,埼玉県,茨城県,441
2019,三重県,東京都,441
2019,福井県,京都府,434
2019,群馬県,千葉県,432
2019,愛媛県,東京都,432
2019,愛知県,滋賀県,424
2019,福岡県,神奈川県,411
2019,秋田県,東京都,410
2019,和歌山県,京都府,402
2019,広島県,愛媛県,402
2019,福島県,栃木県,397
2019,香川県,京都府,396
2019,福井県,石川県,394
2019,宮崎県,東京都,394
2019,北海道,大阪府,393
2019,宮城県,神奈川県,388
2019,長崎県,東京都,372
2019,青森県,北海道,366
2019,香川県,東京都,366
2019,長野県,群馬県,365
2019,鹿児島県,熊本県,365
2019,兵庫県,広島県,364
2019,愛知県,兵庫県,363
2019,岡山県,香川県,358
2019,北海道,埼玉県,357
