prefecture,year,graduates,university,senmon,senshu_general,training,employed,other,unknown,university_rate,employed_rate
北海道,2017,42484,18902,9310,1815,270,10316,1871,0,0.44492,0.242821
青森県,2017,12094,5389,1827,361,209,3911,395,2,0.445593,0.323383
岩手県,2017,11558,5036,2013,551,228,3497,230,3,0.435716,0.302561
宮城県,2017,19806,9755,3129,1248,197,4839,622,16,0.492528,0.24432
秋田県,2017,8524,3858,1446,255,63,2597,302,3,0.452604,0.304669
山形県,2017,10073,4566,1859,390,208,2911,139,0,0.453291,0.28899
福島県,2017,17607,8039,3314,565,151,4997,541,0,0.45658,0.283808
茨城県,2017,25284,12784,4573,1053,254,5627,992,1,0.505616,0.222552
栃木県,2017,17493,9066,3045,320,144,4041,874,3,0.518264,0.231007
群馬県,2017,17056,8905,3185,754,161,3451,596,4,0.522104,0.202333
埼玉県,2017,57262,32989,9544,3399,254,8666,2408,2,0.576106,0.151339
千葉県,2017,49330,27466,8766,2947,121,7380,2648,2,0.556781,0.149605
東京都,2017,102326,67455,12040,5987,320,7452,9055,17,0.659217,0.072826
神奈川県,2017,66400,40703,10534,2197,390,6386,6181,9,0.612997,0.096175
新潟県,2017,19427,8799,5153,680,196,4004,594,1,0.452926,0.206105
富山県,2017,9115,4760,1550,517,123,2071,94,0,0.522216,0.227208
石川県,2017,10550,5739,1428,380,98,2407,494,4,0.543981,0.228152
福井県,2017,7564,4227,1121,147,29,1782,256,2,0.558831,0.23559
山梨県,2017,8229,4685,1441,471,91,1410,125,6,0.569328,0.171345
長野県,2017,18898,9094,3944,1389,198,3572,701,0,0.481215,0.189015
岐阜県,2017,18379,10279,2419,803,106,4384,384,4,0.55928,0.238533
静岡県,2017,32825,17364,5640,934,152,7441,1285,9,0.528987,0.226687
愛知県,2017,65204,37728,8212,4033,103,13121,1984,23,0.578615,0.20123
三重県,2017,16212,8252,2431,630,89,4436,372,2,0.509006,0.273624
滋賀県,2017,12884,7206,2171,503,73,2424,505,2,0.559298,0.18814
京都府,2017,23480,15547,3217,1180,106,2209,1217,4,0.662138,0.09408
大阪府,2017,75858,45292,11410,4555,133,9855,4581,32,0.597063,0.129914
兵庫県,2017,47201,28651,6599,3033,87,7034,1790,7,0.607,0.149022
奈良県,2017,12061,7082,1724,844,12,1508,889,2,0.587182,0.125031
和歌山県,2017,8986,4388,1502,532,49,2132,383,0,0.488315,0.237258
鳥取県,2017,4881,2064,940,506,38,1246,85,2,0.422864,0.255276
島根県,2017,6045,2771,1332,209,74,1416,243,0,0.458395,0.234243
岡山県,2017,17762,9002,3059,705,109,4228,649,10,0.506812,0.238036
広島県,2017,23780,14442,2807,2184,157,3644,544,2,0.607317,0.153238
山口県,2017,11321,4920,1859,746,94,3442,260,0,0.434591,0.304037
徳島県,2017,6443,3422,1068,232,73,1507,141,0,0.531119,0.233897
香川県,2017,8662,4475,1340,764,92,1643,340,8,0.516624,0.189679
愛媛県,2017,11480,6047,2183,323,35,2711,181,0,0.526742,0.23615
高知県,2017,6081,2878,1072,705,91,1129,206,0,0.473277,0.18566
福岡県,2017,42435,23020,6887,2925,140,7805,1648,10,0.542477,0.183928
佐賀県,2017,8106,3563,1225,585,50,2575,106,2,0.439551,0.317666
長崎県,2017,12977,5673,2235,697,192,3883,297,0,0.437158,0.299222
熊本県,2017,15622,7336,2769,1086,43,4046,336,6,0.469594,0.258994
大分県,2017,10102,4772,2066,379,64,2645,172,4,0.472382,0.261829
宮崎県,2017,10329,4644,1656,684,67,3037,240,1,0.449608,0.294027
鹿児島県,2017,14765,6375,2973,880,194,4030,313,0,0.431764,0.272943
沖縄県,2017,14607,5774,3658,327,232,2565,2046,5,0.39529,0.175601
