prefecture,year,graduates,university,senmon,senshu_general,training,employed,other,unknown,university_rate,employed_rate
北海道,2022,38179,19204,8747,1159,153,7188,1726,2,0.502999,0.188271
青森県,2022,10337,5383,1676,193,184,2521,380,0,0.520751,0.243881
岩手県,2022,10017,4675,2153,182,207,2556,243,1,0.466707,0.255166
宮城県,2022,18434,9947,3226,682,188,3819,567,5,0.539601,0.207172
秋田県,2022,7055,3407,1217,226,53,1940,212,0,0.48292,0.274982
山形県,2022,8998,4450,1726,204,207,2272,139,0,0.494554,0.252501
福島県,2022,15242,7444,2673,655,74,3955,441,0,0.488387,0.25948
茨城県,2022,23813,13068,4516,681,252,4295,1001,0,0.548776,0.180364
栃木県,2022,16409,8967,3183,167,131,3222,739,0,0.546468,0.196356
群馬県,2022,16236,9160,3159,464,131,2693,629,0,0.564178,0.165866
埼玉県,2022,54053,34244,9705,1520,193,6083,2307,1,0.633526,0.112538
千葉県,2022,46852,28763,8980,1559,101,5283,2166,0,0.613912,0.112759
東京都,2022,98713,70555,10847,5091,245,5160,6813,2,0.714749,0.052273
神奈川県,2022,64786,42779,10797,1482,342,4885,4497,4,0.660312,0.075402
新潟県,2022,17172,8750,4690,324,173,2741,494,0,0.50955,0.15962
富山県,2022,8517,4814,1518,147,107,1593,337,1,0.565222,0.187038
石川県,2022,9995,6023,1426,257,77,1838,374,0,0.602601,0.183892
福井県,2022,6705,4013,1023,117,19,1312,221,0,0.598509,0.195675
山梨県,2022,7541,4513,1464,209,87,1102,164,2,0.598462,0.146134
長野県,2022,17397,9296,3673,598,173,2791,866,0,0.534345,0.16043
岐阜県,2022,16916,10003,2481,459,92,3490,390,1,0.591334,0.206314
静岡県,2022,30164,16818,5081,1122,139,5959,1045,0,0.557552,0.197553
愛知県,2022,60818,37597,8428,2377,73,10332,2005,6,0.618189,0.169884
三重県,2022,14607,7837,2240,381,80,3645,423,1,0.536524,0.249538
滋賀県,2022,12108,7196,2005,247,62,1993,604,1,0.594318,0.164602
京都府,2022,21821,15568,2884,571,88,1500,1209,1,0.713441,0.068741
大阪府,2022,68065,45305,10064,2888,135,6627,3040,6,0.665614,0.097363
兵庫県,2022,42454,28004,5474,2455,79,5032,1409,1,0.659632,0.118528
奈良県,2022,10939,6935,1385,557,6,1134,922,0,0.63397,0.103666
和歌山県,2022,7816,4377,1297,372,43,1433,294,0,0.560005,0.183342
鳥取県,2022,4679,2252,892,278,56,1078,123,0,0.481299,0.230391
島根県,2022,5554,2730,1279,69,94,1137,244,1,0.491538,0.204717
岡山県,2022,16274,8940,3125,339,66,3244,560,0,0.549343,0.199336
広島県,2022,22196,14168,2887,1461,127,2885,668,0,0.638313,0.129978
山口県,2022,10260,4674,1769,609,68,2874,266,0,0.455556,0.280117
徳島県,2022,5742,3319,937,143,62,1145,136,0,0.578022,0.199408
香川県,2022,8069,4556,1435,388,78,1322,290,0,0.56463,0.163837
愛媛県,2022,10536,5884,1976,350,47,2093,185,1,0.558466,0.198652
高知県,2022,5536,2968,798,602,82,905,181,0,0.536127,0.163475
福岡県,2022,39841,22797,6951,1984,158,6341,1609,1,0.572199,0.159158
佐賀県,2022,7440,3476,1287,380,56,2071,170,0,0.467204,0.27836
長崎県,2022,11283,5521,1855,643,192,2833,239,0,0.48932,0.251086
熊本県,2022,14388,6899,2708,847,52,3452,429,1,0.479497,0.239922
大分県,2022,9417,4747,2019,216,77,2126,232,0,0.504088,0.225762
宮崎県,2022,9272,4328,1671,465,67,2416,325,0,0.466782,0.260569
鹿児島県,2022,13764,6405,3003,598,143,3218,390,7,0.465344,0.233798
沖縄県,2022,13820,6160,3576,453,286,1801,1544,0,0.445731,0.130318
