prefecture,year,graduates,university,senmon,senshu_general,training,employed,other,unknown,university_rate,employed_rate
北海道,2021,39200,18908,9354,1133,173,7935,1696,1,0.482347,0.202423
青森県,2021,10798,5330,1754,202,228,2891,393,0,0.49361,0.267735
岩手県,2021,10345,4698,2021,414,166,2808,236,2,0.454132,0.271435
宮城県,2021,18805,9744,3394,841,175,4027,621,3,0.51816,0.214145
秋田県,2021,7392,3559,1349,133,49,2064,238,0,0.481466,0.279221
山形県,2021,9381,4355,1858,217,190,2566,193,2,0.464236,0.273532
福島県,2021,15802,7539,2756,630,97,4255,525,0,0.477092,0.26927
茨城県,2021,24359,12833,4719,724,237,4802,1043,1,0.526828,0.197135
栃木県,2021,16721,9045,3120,278,131,3381,766,0,0.540937,0.202201
群馬県,2021,16255,8798,2903,885,123,2866,680,0,0.541249,0.176315
埼玉県,2021,55098,33440,10373,1977,196,6639,2471,2,0.606919,0.120494
千葉県,2021,48202,28068,9670,2153,122,5882,2303,4,0.582299,0.122028
東京都,2021,98943,68292,12239,5220,289,5710,7192,1,0.690216,0.05771
神奈川県,2021,65293,41218,11538,1786,342,5261,5144,4,0.631277,0.080575
新潟県,2021,17158,8395,4830,337,142,2903,551,0,0.489276,0.169192
富山県,2021,8720,4775,1516,183,130,1751,365,0,0.547592,0.200803
石川県,2021,9872,5711,1423,274,102,1955,407,0,0.578505,0.198035
福井県,2021,7089,4220,1055,92,17,1499,206,0,0.595288,0.211454
山梨県,2021,7727,4536,1387,394,68,1167,173,2,0.587032,0.151029
長野県,2021,17985,9132,3943,716,179,3085,924,6,0.507756,0.171532
岐阜県,2021,17565,10065,2489,602,131,3931,346,1,0.573015,0.223797
静岡県,2021,31272,16854,5435,1237,152,6614,977,3,0.538949,0.211499
愛知県,2021,62134,37186,8645,2978,101,11130,2086,8,0.598481,0.179129
三重県,2021,15116,7949,2243,582,59,3884,398,1,0.525867,0.256946
滋賀県,2021,12524,7190,2183,310,76,2155,609,1,0.574098,0.17207
京都府,2021,22049,15399,3033,697,59,1669,1190,2,0.698399,0.075695
大阪府,2021,70339,45229,10911,3375,127,7568,3120,9,0.643015,0.107593
兵庫県,2021,43957,28285,6205,2211,77,5635,1544,0,0.64347,0.128193
奈良県,2021,11180,6909,1454,747,13,1255,802,0,0.617979,0.112254
和歌山県,2021,7968,4305,1458,371,48,1503,283,0,0.540286,0.18863
鳥取県,2021,4718,2185,935,315,59,1100,124,0,0.46312,0.23315
島根県,2021,5837,2765,1255,257,89,1261,210,0,0.473702,0.216036
岡山県,2021,16792,9103,3138,419,97,3438,597,0,0.542103,0.20474
広島県,2021,22463,13887,2783,1844,149,3166,633,1,0.618217,0.140943
山口県,2021,10503,4643,1706,668,85,3138,263,0,0.442064,0.298772
徳島県,2021,5886,3328,980,146,76,1222,134,0,0.565409,0.207611
香川県,2021,8437,4658,1471,446,96,1462,304,0,0.552092,0.173284
愛媛県,2021,10570,5696,2063,322,51,2211,225,2,0.538884,0.209177
高知県,2021,5755,2948,992,503,76,1036,200,0,0.51225,0.180017
福岡県,2021,40648,22173,7475,2496,141,6744,1618,1,0.545488,0.165912
佐賀県,2021,7550,3453,1387,386,49,2122,153,0,0.457351,0.28106
長崎県,2021,11590,5519,1972,619,172,3139,168,1,0.476186,0.270837
熊本県,2021,14750,6964,3021,677,49,3597,441,1,0.472136,0.243864
大分県,2021,9557,4754,2058,198,81,2278,185,3,0.497436,0.238359
宮崎県,2021,9653,4460,1694,502,57,2653,287,0,0.462033,0.274837
鹿児島県,2021,13956,6298,3065,637,183,3452,320,1,0.451275,0.247349
沖縄県,2021,14093,5749,3932,419,260,2090,1643,0,0.407933,0.148301
