prefecture,year,entrants_from_prefecture,local_entrants,outbound_entrants,inbound_entrants,net_inflow,out_of_prefecture_rate
山口県,2023,4983,1184,3799,2961,-838,0.762392
徳島県,2023,3245,1186,2059,1458,-601,0.634515
香川県,2023,5031,874,4157,1157,-3000,0.826277
愛媛県,2023,6103,2112,3991,1822,-2169,0.653941
高知県,2023,2956,748,2208,1475,-733,0.746955
福岡県,2023,23066,15028,8038,10611,2573,0.348478
佐賀県,2023,3449,531,2918,1260,-1658,0.846042
長崎県,2023,5211,1953,3258,1762,-1496,0.625216
熊本県,2023,7163,3276,3887,2363,-1524,0.54265
大分県,2023,4121,1143,2978,1765,-1213,0.72264
宮崎県,2023,4066,1058,3008,1041,-1967,0.739793
鹿児島県,2023,6373,2178,4195,1343,-2852,0.658246
沖縄県,2023,8650,3438,5212,896,-4316,0.602543
北海道,2024,21143,13800,7343,4640,-2703,0.347302
青森県,2024,4670,1814,2856,1278,-1578,0.611563
岩手県,2024,4370,1252,3118,1121,-1997,0.713501
宮城県,2024,9930,5471,4459,6126,1667,0.449043
秋田県,2024,3144,772,2372,1166,-1206,0.754453
山形県,2024,4071,910,3161,1856,-1305,0.776468
福島県,2024,6873,1440,5433,1547,-3886,0.790485
茨城県,2024,16274,2938,13336,3378,-9958,0.819467
栃木県,2024,8991,2265,6726,2450,-4276,0.748081
群馬県,2024,8713,2978,5735,3026,-2709,0.658212
埼玉県,2024,34803,9863,24940,16077,-8863,0.716605
千葉県,2024,30255,10385,19870,15458,-4412,0.656751
東京都,2024,78123,53761,24362,96608,72246,0.311842
神奈川県,2024,44439,17935,26504,27523,1019,0.596413
新潟県,2024,8842,3648,5194,2892,-2302,0.587424
富山県,2024,4524,919,3605,1648,-1957,0.796861
石川県,2024,5697,2789,2908,3757,849,0.510444
福井県,2024,3921,1229,2692,999,-1693,0.68656
山梨県,2024,5422,1244,4178,2730,-1448,0.770564
長野県,2024,9451,1749,7702,2241,-5461,0.81494
岐阜県,2024,9425,2096,7329,2306,-5023,0.777613
静岡県,2024,16659,4869,11790,3035,-8755,0.707726
愛知県,2024,38225,27299,10926,14251,3325,0.285834
三重県,2024,7515,1795,5720,1245,-4475,0.761144
滋賀県,2024,7029,1503,5526,5770,244,0.786172
京都府,2024,15983,8543,7440,25143,17703,0.465495
大阪府,2024,46037,27663,18374,27750,9376,0.399114
兵庫県,2024,28624,12879,15745,12612,-3133,0.550063
奈良県,2024,7644,1164,6480,3111,-3369,0.847724
和歌山県,2024,4158,765,3393,1289,-2104,0.816017
鳥取県,2024,2229,337,1892,1240,-652,0.848811
島根県,2024,2669,476,2193,1226,-967,0.821656
岡山県,2024,9365,3862,5503,4487,-1016,0.587613
広島県,2024,14540,7422,7118,4943,-2175,0.489546
山口県,2024,4991,1317,3674,3001,-673,0.736125
徳島県,2024,3107,1034,2073,1387,-686,0.667203
香川県,2024,4801,851,3950,1114,-2836,0.822745
愛媛県,2024,5971,2047,3924,1843,-2081,0.657176
高知県,2024,2926,796,2130,1521,-609,0.727956
福岡県,2024,22706,14966,7740,10967,3227,0.340879
佐賀県,2024,3359,588,2771,1170,-1601,0.824948
長崎県,2024,5168,1835,3333,1814,-1519,0.64493
