year,origin_prefecture,destination_prefecture,movers
2018,神奈川県,東京都,22086
2018,埼玉県,東京都,17060
2018,千葉県,東京都,13342
2018,東京都,神奈川県,10336
2018,大阪府,京都府,7320
2018,兵庫県,大阪府,7115
2018,東京都,埼玉県,6381
2018,大阪府,兵庫県,5231
2018,茨城県,東京都,4862
2018,東京都,千葉県,4622
2018,岐阜県,愛知県,4597
2018,静岡県,東京都,3397
2018,奈良県,大阪府,3238
2018,京都府,大阪府,3157
2018,三重県,愛知県,2973
2018,滋賀県,京都府,2822
2018,兵庫県,京都府,2668
2018,栃木県,東京都,2484
2018,群馬県,東京都,2353
2018,長野県,東京都,2257
2018,千葉県,神奈川県,2127
2018,静岡県,神奈川県,2123
2018,北海道,東京都,2112
2018,愛知県,東京都,2111
2018,茨城県,千葉県,2067
2018,埼玉県,神奈川県,1976
2018,埼玉県,千葉県,1959
2018,千葉県,埼玉県,1950
2018,静岡県,愛知県,1924
2018,新潟県,東京都,1897
2018,和歌山県,大阪府,1783
2018,大阪府,奈良県,1715
2018,山梨県,東京都,1665
2018,奈良県,京都府,1585
2018,福島県,東京都,1495
2018,佐賀県,福岡県,1450
2018,愛知県,岐阜県,1445
2018,茨城県,埼玉県,1363
2018,福岡県,東京都,1341
2018,京都府,滋賀県,1340
2018,群馬県,埼玉県,1335
2018,熊本県,福岡県,1326
2018,滋賀県,大阪府,1308
2018,大阪府,東京都,1234
2018,長崎県,福岡県,1231
2018,大阪府,滋賀県,1199
2018,宮城県,東京都,1193
2018,栃木県,埼玉県,1170
2018,鹿児島県,福岡県,1130
2018,愛知県,京都府,1120
2018,茨城県,神奈川県,1102
2018,神奈川県,千葉県,1031
2018,兵庫県,東京都,1003
2018,富山県,石川県,988
2018,大分県,福岡県,980
2018,福島県,宮城県,970
2018,山口県,福岡県,969
2018,長野県,神奈川県,963
2018,神奈川県,埼玉県,896
2018,広島県,岡山県,891
2018,岩手県,宮城県,861
2018,広島県,東京都,860
2018,広島県,大阪府,847
2018,宮崎県,福岡県,844
2018,新潟県,神奈川県,792
2018,山形県,宮城県,787
2018,京都府,兵庫県,774
2018,兵庫県,岡山県,761
2018,栃木県,神奈川県,755
2018,山口県,広島県,735
2018,千葉県,茨城県,732
2018,大阪府,和歌山県,717
2018,北海道,神奈川県,705
2018,愛知県,静岡県,697
2018,群馬県,神奈川県,693
2018,愛知県,三重県,688
2018,福岡県,熊本県,688
2018,長野県,埼玉県,687
2018,福岡県,佐賀県,686
2018,新潟県,埼玉県,674
2018,福岡県,山口県,669
2018,愛知県,神奈川県,666
2018,岡山県,大阪府,648
2018,福島県,神奈川県,642
2018,静岡県,千葉県,641
2018,香川県,大阪府,637
2018,山形県,東京都,629
2018,東京都,北海道,624
2018,愛知県,大阪府,622
2018,鹿児島県,東京都,618
2018,山梨県,神奈川県,617
2018,富山県,東京都,612
2018,青森県,東京都,606
2018,広島県,福岡県,600
2018,長野県,愛知県,598
2018,香川県,岡山県,598
2018,青森県,宮城県,597
2018,広島県,京都府,596
2018,東京都,茨城県,595
2018,岡山県,兵庫県,593
2018,奈良県,兵庫県,589
2018,三重県,大阪府,577
2018,埼玉県,群馬県,575
2018,福島県,埼玉県,572
2018,愛媛県,広島県,568
2018,岡山県,広島県,560
2018,岐阜県,東京都,556
2018,秋田県,宮城県,552
2018,宮城県,山形県,551
2018,沖縄県,東京都,547
2018,岩手県,東京都,538
2018,福岡県,長崎県,533
2018,熊本県,東京都,531
2018,静岡県,京都府,526
2018,栃木県,千葉県,516
2018,島根県,広島県,508
2018,福岡県,京都府,508
2018,岡山県,京都府,507
2018,石川県,東京都,505
2018,岡山県,東京都,503
2018,福岡県,大阪府,496
2018,広島県,兵庫県,492
2018,茨城県,栃木県,490
2018,静岡県,埼玉県,486
2018,愛媛県,大阪府,483
2018,東京都,京都府,475
2018,三重県,京都府,475
2018,長野県,千葉県,472
2018,京都府,東京都,470
2018,三重県,東京都,469
2018,福島県,千葉県,468
2018,北海道,青森県,464
2018,東京都,山梨県,460
2018,秋田県,東京都,458
2018,香川県,兵庫県,454
2018,愛媛県,東京都,446
2018,広島県,山口県,443
2018,京都府,奈良県,440
2018,栃木県,群馬県,439
2018,愛媛県,岡山県,433
2018,兵庫県,滋賀県,432
2018,福井県,京都府,429
2018,愛知県,滋賀県,422
2018,和歌山県,京都府,419
2018,新潟県,千葉県,418
2018,宮城県,神奈川県,416
2018,福岡県,神奈川県,410
2018,宮崎県,東京都,409
2018,北海道,埼玉県,398
2018,埼玉県,茨城県,397
2018,福井県,石川県,396
2018,広島県,愛媛県,395
2018,香川県,京都府,391
2018,長崎県,東京都,387
2018,岡山県,香川県,381
2018,福島県,栃木県,376
2018,鹿児島県,熊本県,376
2018,香川県,東京都,373
2018,北海道,大阪府,363
2018,北海道,京都府,360
2018,石川県,京都府,360
2018,福井県,大阪府,358
2018,青森県,北海道,356
2018,和歌山県,兵庫県,356
2018,兵庫県,広島県,353
2018,岐阜県,京都府,349
2018,群馬県,千葉県,347
2018,山口県,東京都,347
2018,沖縄県,福岡県,346
2018,静岡県,山梨県,339
2018,愛知県,兵庫県,339
2018,東京都,群馬県,337
2018,大阪府,神奈川県,336
2018,福岡県,大分県,332
2018,石川県,富山県,331
2018,富山県,愛知県,329
2018,石川県,大阪府,328
2018,北海道,千葉県,323
2018,山形県,神奈川県,323
2018,長野県,群馬県,321
2018,佐賀県,東京都,319
2018,高知県,大阪府,318
2018,大分県,東京都,316
2018,長野県,石川県,313
2018,兵庫県,徳島県,312
2018,兵庫県,鳥取県,309
2018,奈良県,東京都,308
2018,福井県,愛知県,306
2018,愛媛県,兵庫県,306
2018,山形県,新潟県,305
2018,長野県,山梨県,304
2018,静岡県,大阪府,304
2018,宮城県,埼玉県,302
2018,福岡県,兵庫県,301
2018,宮崎県,熊本県,301
2018,愛知県,北海道,299
2018,兵庫県,奈良県,299
2018,愛知県,長野県,293
2018,福岡県,広島県,291
2018,広島県,神奈川県,289
2018,徳島県,大阪府,288
2018,兵庫県,神奈川県,286
2018,神奈川県,北海道,284
2018,愛知県,富山県,281
2018,鳥取県,大阪府,281
2018,福島県,新潟県,279
2018,岩手県,北海道,275
2018,香川県,広島県,275
2018,福島県,茨城県,273
2018,神奈川県,山梨県,268
2018,東京都,宮城県,266
2018,新潟県,石川県,265
2018,奈良県,滋賀県,264
2018,愛知県,石川県,263
2018,島根県,岡山県,262
2018,高知県,東京都,262
2018,宮城県,岩手県,261
2018,島根県,大阪府,261
2018,石川県,愛知県,260
2018,山梨県,埼玉県,260
2018,山梨県,千葉県,256
2018,長崎県,熊本県,256
2018,群馬県,栃木県,255
2018,福岡県,鹿児島県,255
2018,茨城県,群馬県,254
2018,岩手県,神奈川県,253
2018,愛媛県,京都府,253
2018,青森県,岩手県,251
2018,福井県,東京都,248
2018,長野県,新潟県,244
2018,宮城県,千葉県,243
2018,埼玉県,栃木県,239
2018,高知県,岡山県,239
2018,岩手県,青森県,238
2018,福島県,山形県,238
2018,山口県,大阪府,237
2018,東京都,静岡県,236
2018,愛知県,福井県,235
2018,宮崎県,鹿児島県,232
2018,千葉県,北海道,231
2018,富山県,神奈川県,229
2018,山口県,岡山県,229
2018,富山県,京都府,228
2018,徳島県,兵庫県,227
2018,高知県,兵庫県,227
2018,山口県,京都府,226
2018,佐賀県,長崎県,226
2018,北海道,愛知県,224
2018,愛知県,千葉県,224
2018,新潟県,群馬県,223
2018,長野県,京都府,223
2018,熊本県,神奈川県,223
2018,大分県,熊本県,223
2018,兵庫県,愛知県,222
2018,熊本県,鹿児島県,222
2018,山形県,千葉県,220
2018,岐阜県,滋賀県,220
2018,香川県,愛媛県,220
2018,兵庫県,福岡県,216
2018,茨城県,宮城県,215
2018,岐阜県,大阪府,214
2018,愛媛県,福岡県,213
2018,北海道,兵庫県,210
2018,青森県,神奈川県,209
2018,岡山県,福岡県,209
2018,栃木県,福島県,207
2018,沖縄県,大阪府,207
2018,東京都,大阪府,206
2018,富山県,大阪府,206
2018,神奈川県,静岡県,205
2018,岐阜県,石川県,205
2018,滋賀県,兵庫県,205
2018,茨城県,福島県,203
2018,栃木県,茨城県,203
2018,埼玉県,北海道,203
2018,静岡県,北海道,202
2018,山口県,兵庫県,201
2018,青森県,埼玉県,200
2018,徳島県,京都府,200
2018,兵庫県,北海道,198
2018,高知県,京都府,198
2018,大阪府,北海道,197
2018,神奈川県,京都府,196
2018,秋田県,神奈川県,195
2018,大阪府,愛知県,195
2018,鳥取県,岡山県,195
2018,徳島県,岡山県,195
2018,青森県,千葉県,194
2018,鳥取県,兵庫県,194
2018,山形県,埼玉県,193
2018,大阪府,広島県,193
2018,群馬県,新潟県,192
2018,広島県,島根県,192
2018,北海道,宮城県,191
2018,長崎県,佐賀県,191
2018,宮崎県,大分県,191
2018,愛知県,埼玉県,190
2018,宮城県,福島県,189
2018,徳島県,東京都,189
2018,秋田県,新潟県,188
2018,鹿児島県,大阪府,188
2018,沖縄県,神奈川県,186
2018,佐賀県,熊本県,185
2018,島根県,東京都,184
2018,新潟県,宮城県,181
2018,東京都,長野県,180
2018,三重県,兵庫県,178
2018,鳥取県,京都府,178
2018,和歌山県,東京都,177
2018,愛媛県,徳島県,177
2018,秋田県,青森県,176
2018,兵庫県,高知県,176
2018,秋田県,北海道,175
2018,香川県,徳島県,174
2018,秋田県,岩手県,173
2018,鹿児島県,神奈川県,173
2018,静岡県,茨城県,172
2018,静岡県,長野県,172
2018,岡山県,愛媛県,171
2018,茨城県,北海道,169
2018,岐阜県,神奈川県,168
2018,滋賀県,愛知県,168
2018,埼玉県,宮城県,164
2018,鳥取県,広島県,164
2018,富山県,新潟県,163
2018,大分県,長崎県,163
2018,沖縄県,千葉県,163
2018,福岡県,宮崎県,162
2018,神奈川県,茨城県,161
2018,熊本県,長崎県,161
2018,秋田県,埼玉県,160
2018,鳥取県,東京都,160
2018,鳥取県,島根県,160
2018,島根県,兵庫県,160
2018,鹿児島県,宮崎県,160
2018,千葉県,京都府,159
2018,岩手県,埼玉県,157
2018,栃木県,宮城県,155
2018,岐阜県,静岡県,154
2018,鹿児島県,京都府,154
2018,静岡県,兵庫県,153
2018,福岡県,千葉県,152
2018,石川県,神奈川県,150
2018,愛媛県,神奈川県,150
2018,福岡県,岡山県,148
2018,熊本県,大阪府,148
2018,宮城県,北海道,147
2018,福井県,兵庫県,147
2018,三重県,滋賀県,147
2018,大阪府,福岡県,147
2018,岡山県,山口県,147
2018,愛媛県,香川県,147
2018,滋賀県,東京都,145
2018,大阪府,岡山県,145
2018,神奈川県,群馬県,144
2018,長崎県,山口県,144
2018,長崎県,大分県,143
2018,新潟県,京都府,142
2018,愛知県,広島県,142
2018,福島県,群馬県,141
2018,東京都,愛知県,141
2018,愛媛県,高知県,141
2018,大分県,山口県,141
2018,沖縄県,埼玉県,141
2018,長崎県,鹿児島県,140
2018,岐阜県,富山県,139
2018,静岡県,群馬県,139
2018,島根県,京都府,139
2018,長崎県,広島県,138
2018,鹿児島県,長崎県,138
2018,栃木県,新潟県,137
2018,岡山県,神奈川県,137
2018,鹿児島県,広島県,137
2018,高知県,愛媛県,136
2018,岩手県,千葉県,135
2018,静岡県,石川県,135
2018,静岡県,岐阜県,135
2018,兵庫県,石川県,135
2018,大分県,広島県,135
2018,埼玉県,京都府,133
2018,神奈川県,宮城県,133
2018,三重県,奈良県,133
2018,兵庫県,山口県,133
2018,福岡県,埼玉県,133
2018,熊本県,京都府,133
2018,熊本県,広島県,133
2018,熊本県,大分県,133
2018,群馬県,茨城県,132
2018,埼玉県,山梨県,132
2018,三重県,神奈川県,132
2018,山梨県,長野県,131
2018,宮崎県,長崎県,131
2018,鹿児島県,愛知県,131
2018,石川県,福井県,130
2018,石川県,兵庫県,130
2018,岡山県,高知県,130
2018,岩手県,山形県,129
2018,山形県,福島県,129
2018,広島県,滋賀県,129
2018,大分県,京都府,129
2018,大分県,大阪府,129
2018,千葉県,群馬県,128
2018,千葉県,静岡県,128
2018,広島県,千葉県,127
2018,長野県,富山県,126
2018,岡山県,島根県,126
2018,静岡県,滋賀県,125
2018,秋田県,千葉県,124
2018,三重県,岐阜県,124
2018,京都府,愛知県,124
2018,兵庫県,香川県,124
2018,長崎県,大阪府,124
2018,岩手県,秋田県,122
2018,群馬県,宮城県,122
2018,東京都,兵庫県,122
2018,高知県,徳島県,122
2018,沖縄県,岐阜県,120
2018,沖縄県,愛知県,120
2018,京都府,神奈川県,119
2018,兵庫県,島根県,119
2018,徳島県,香川県,119
2018,岐阜県,長野県,118
2018,大阪府,鳥取県,118
2018,宮崎県,神奈川県,118
2018,新潟県,福島県,117
2018,新潟県,長野県,117
2018,福井県,滋賀県,117
2018,山梨県,静岡県,117
2018,岡山県,徳島県,117
2018,新潟県,山形県,116
2018,熊本県,宮崎県,115
2018,鹿児島県,兵庫県,115
2018,茨城県,京都府,114
2018,富山県,埼玉県,114
2018,大阪府,埼玉県,114
2018,大阪府,徳島県,114
2018,和歌山県,奈良県,114
2018,東京都,栃木県,113
2018,神奈川県,大阪府,113
2018,長野県,静岡県,113
2018,岡山県,鳥取県,113
2018,広島県,愛知県,112
2018,長野県,大阪府,111
2018,福岡県,滋賀県,111
2018,北海道,群馬県,110
2018,愛媛県,愛知県,110
2018,高知県,広島県,110
2018,新潟県,北海道,109
2018,大分県,宮崎県,109
2018,長野県,岐阜県,108
2018,愛知県,福岡県,108
2018,兵庫県,埼玉県,108
2018,香川県,神奈川県,108
2018,青森県,秋田県,107
2018,岩手県,福島県,107
2018,茨城県,静岡県,107
2018,島根県,鳥取県,107
2018,徳島県,愛媛県,107
2018,高知県,神奈川県,107
2018,石川県,新潟県,106
2018,岐阜県,兵庫県,106
2018,大阪府,三重県,106
2018,兵庫県,和歌山県,106
2018,山口県,神奈川県,106
2018,愛媛県,山口県,106
2018,千葉県,宮城県,105
2018,新潟県,富山県,105
2018,三重県,静岡県,105
2018,宮城県,新潟県,104
2018,群馬県,京都府,104
2018,兵庫県,千葉県,104
2018,広島県,埼玉県,104
2018,徳島県,広島県,104
2018,大分県,神奈川県,103
2018,鹿児島県,千葉県,103
2018,茨城県,大阪府,102
2018,奈良県,愛知県,102
2018,島根県,福岡県,102
2018,高知県,香川県,102
2018,長崎県,神奈川県,102
2018,沖縄県,長崎県,102
2018,栃木県,山形県,101
2018,静岡県,宮城県,101
2018,熊本県,佐賀県,101
2018,鹿児島県,埼玉県,101
2018,富山県,千葉県,100
2018,岐阜県,三重県,100
2018,福岡県,愛知県,100
2018,北海道,静岡県,99
2018,青森県,山形県,99
2018,秋田県,山形県,99
2018,東京都,福島県,99
2018,愛知県,茨城県,99
2018,北海道,岩手県,98
2018,栃木県,北海道,98
2018,愛知県,山梨県,98
2018,鹿児島県,山口県,98
2018,宮城県,栃木県,97
2018,富山県,福井県,97
2018,富山県,長野県,97
2018,京都府,広島県,97
2018,大阪府,千葉県,97
2018,徳島県,高知県,97
2018,山形県,栃木県,96
2018,群馬県,長野県,96
2018,福井県,富山県,96
2018,長野県,茨城県,96
2018,宮崎県,京都府,96
2018,沖縄県,岡山県,96
2018,千葉県,山梨県,95
2018,長野県,北海道,95
2018,岐阜県,福井県,95
2018,愛知県,奈良県,95
2018,長崎県,京都府,95
2018,群馬県,石川県,94
2018,滋賀県,岐阜県,94
2018,京都府,岡山県,94
2018,兵庫県,静岡県,94
2018,山形県,北海道,93
2018,静岡県,三重県,93
2018,岡山県,愛知県,93
2018,宮城県,青森県,92
2018,新潟県,秋田県,91
2018,兵庫県,愛媛県,91
2018,島根県,山口県,91
2018,宮崎県,大阪府,91
2018,沖縄県,広島県,91
2018,宮城県,茨城県,90
2018,埼玉県,長野県,90
2018,岐阜県,千葉県,90
2018,茨城県,山梨県,89
2018,広島県,高知県,89
2018,鹿児島県,大分県,89
2018,東京都,福岡県,88
2018,北海道,山梨県,87
2018,静岡県,広島県,87
2018,三重県,石川県,87
2018,和歌山県,滋賀県,87
2018,滋賀県,石川県,86
2018,宮城県,京都府,85
2018,福島県,北海道,85
2018,神奈川県,長野県,85
2018,山梨県,大阪府,85
2018,熊本県,兵庫県,85
2018,静岡県,奈良県,84
2018,奈良県,神奈川県,84
2018,千葉県,愛知県,83
2018,長野県,宮城県,83
2018,北海道,石川県,82
2018,神奈川県,愛知県,82
2018,石川県,滋賀県,82
2018,北海道,茨城県,81
2018,茨城県,愛知県,81
2018,栃木県,秋田県,81
2018,千葉県,大阪府,81
2018,大阪府,石川県,81
2018,香川県,高知県,81
2018,長崎県,宮崎県,81
2018,大分県,兵庫県,81
2018,青森県,群馬県,80
2018,山形県,秋田県,80
2018,京都府,北海道,80
2018,熊本県,埼玉県,80
