prefecture,year,graduates,university,senmon,senshu_general,training,employed,other,unknown,university_rate,employed_rate
石川県,2024,8990,5638,1164,254,59,1578,297,0,0.627141,0.175528
福井県,2024,6515,3992,1000,80,17,1247,179,0,0.61274,0.191404
山梨県,2024,6988,4360,1231,222,33,969,173,0,0.623927,0.138666
長野県,2024,16085,8919,3234,534,148,2514,736,0,0.554492,0.156295
岐阜県,2024,15520,9504,2169,480,78,2907,382,0,0.612371,0.187307
静岡県,2024,28128,16359,4320,1099,132,5206,1007,5,0.581591,0.185082
愛知県,2024,56956,36457,7067,2246,47,9034,2100,5,0.640091,0.158614
三重県,2024,13451,7458,1973,324,41,3223,430,2,0.554457,0.23961
滋賀県,2024,11326,6996,1807,219,50,1782,472,0,0.617694,0.157337
京都府,2024,20757,15370,2552,407,73,1307,1045,3,0.740473,0.062967
大阪府,2024,62697,43229,8444,2651,72,5449,2852,0,0.689491,0.08691
兵庫県,2024,39100,26813,4918,1690,45,4286,1348,0,0.685754,0.109616
奈良県,2024,9791,6382,1234,399,19,908,849,0,0.651823,0.092738
和歌山県,2024,7074,4045,1198,199,34,1287,310,1,0.571812,0.181934
鳥取県,2024,4407,2268,834,229,34,910,132,0,0.514636,0.20649
島根県,2024,5253,2635,1129,113,68,1097,211,0,0.501618,0.208833
岡山県,2024,15022,8546,2540,332,80,2995,529,0,0.568899,0.199374
広島県,2024,20902,13736,2530,1376,149,2445,666,0,0.657162,0.116974
山口県,2024,9331,4537,1457,485,40,2589,223,0,0.486229,0.277462
徳島県,2024,5063,3024,777,93,57,1003,109,0,0.597274,0.198104
香川県,2024,7552,4419,1219,352,70,1181,311,0,0.585143,0.156382
愛媛県,2024,9379,5412,1595,336,31,1802,203,0,0.577034,0.192131
高知県,2024,5244,3029,755,370,77,819,194,0,0.577613,0.156178
福岡県,2024,38113,22401,6082,1850,126,6057,1597,0,0.587752,0.158922
佐賀県,2024,6843,3313,1209,254,51,1867,149,0,0.484144,0.272834
長崎県,2024,10489,5221,1683,524,146,2705,210,0,0.49776,0.257889
熊本県,2024,13401,6759,2529,553,69,3085,406,0,0.504365,0.230207
大分県,2024,8832,4601,1570,320,57,2103,179,2,0.520947,0.238111
宮崎県,2024,8786,4229,1505,405,63,2237,347,0,0.481334,0.25461
鹿児島県,2024,12998,6262,2526,560,139,3142,369,0,0.481766,0.241729
沖縄県,2024,13022,6084,3329,203,231,1787,1387,1,0.467209,0.137229
北海道,2025,34720,18723,7447,733,163,5992,1661,1,0.539257,0.172581
青森県,2025,8956,4905,1368,126,122,2091,344,0,0.547678,0.233475
岩手県,2025,9203,4592,1744,193,139,2244,291,0,0.498968,0.243834
宮城県,2025,17006,9670,2776,672,142,3180,563,3,0.568623,0.186993
秋田県,2025,6633,3253,1186,105,26,1843,220,0,0.490427,0.277853
山形県,2025,8390,4241,1631,173,170,1962,211,2,0.505483,0.23385
福島県,2025,13651,7183,2274,334,68,3340,452,0,0.526189,0.244671
茨城県,2025,22298,12861,3656,663,99,4086,933,0,0.576778,0.183245
栃木県,2025,14978,8544,2537,241,114,2874,668,0,0.570437,0.191881
群馬県,2025,14761,8644,2585,406,56,2392,676,2,0.585597,0.162049
埼玉県,2025,51118,34194,7812,1561,157,4960,2434,0,0.668923,0.09703
千葉県,2025,44102,28739,7333,1003,71,4498,2458,0,0.651648,0.101991
東京都,2025,95328,71316,8398,4233,154,3949,7277,1,0.748112,0.041425
神奈川県,2025,61318,43209,8507,1102,257,4130,4112,1,0.704671,0.067354
新潟県,2025,15754,8694,3706,224,110,2499,519,2,0.55186,0.158626
富山県,2025,7772,4617,1175,185,82,1432,279,2,0.594056,0.184251
石川県,2025,9082,5799,1095,208,41,1588,351,0,0.638516,0.174851
福井県,2025,6453,4013,889,80,16,1216,239,0,0.621881,0.188439
山梨県,2025,6806,4240,1175,214,33,910,234,0,0.62298,0.133706
長野県,2025,16182,9038,3181,504,100,2524,834,1,0.558522,0.155976
岐阜県,2025,15713,9739,2158,416,67,2982,350,1,0.619805,0.189779
静岡県,2025,28438,16587,4200,1144,101,5161,1244,1,0.583269,0.181483
愛知県,2025,57801,37642,7134,2231,28,8620,2141,5,0.651234,0.149132
三重県,2025,13577,7615,1873,402,27,3218,442,0,0.560875,0.237018
滋賀県,2025,11526,7120,1759,247,45,1879,475,1,0.617734,0.163023
京都府,2025,20876,15557,2428,340,46,1220,1285,0,0.74521,0.05844
大阪府,2025,63103,44042,8131,2542,94,5431,2863,0,0.697938,0.086066
兵庫県,2025,39657,27019,4838,1815,63,4314,1608,0,0.681317,0.108783
奈良県,2025,9889,6405,1252,424,9,928,870,1,0.647689,0.093842
和歌山県,2025,6983,4057,1159,150,48,1290,279,0,0.580982,0.184734
鳥取県,2025,4441,2324,785,240,30,933,129,0,0.523306,0.210088
島根県,2025,5396,2835,1094,62,61,1090,254,0,0.525389,0.202001
岡山県,2025,15172,8771,2459,416,76,2906,544,0,0.578104,0.191537
広島県,2025,21166,14317,2361,1309,141,2391,647,0,0.676415,0.112964
山口県,2025,9399,4665,1400,549,64,2498,223,0,0.496329,0.265773
徳島県,2025,5124,3035,722,136,49,1045,137,0,0.592311,0.203942
香川県,2025,7478,4469,1108,268,65,1153,413,2,0.59762,0.154186
愛媛県,2025,9631,5628,1563,437,17,1793,192,1,0.584363,0.18617
高知県,2025,5274,3038,804,347,74,818,192,1,0.576033,0.1551
福岡県,2025,38837,22997,6099,1848,130,5990,1770,3,0.592142,0.154234
佐賀県,2025,7050,3589,1127,259,39,1872,162,2,0.509078,0.265532
長崎県,2025,10454,5247,1737,469,128,2665,208,0,0.501913,0.254926
熊本県,2025,13496,6905,2316,600,76,3119,480,0,0.511633,0.231106
大分県,2025,8994,4793,1650,265,28,2086,168,4,0.532911,0.231932
宮崎県,2025,8897,4363,1415,386,54,2272,407,0,0.49039,0.255367
鹿児島県,2025,13030,6340,2549,559,138,3054,390,0,0.486569,0.234382
沖縄県,2025,13244,6468,3056,210,236,1833,1441,0,0.488372,0.138402
