year,origin_prefecture,destination_prefecture,movers
2020,神奈川県,東京都,22437
2020,埼玉県,東京都,17332
2020,千葉県,東京都,13295
2020,東京都,神奈川県,10133
2020,兵庫県,大阪府,7506
2020,大阪府,京都府,7182
2020,東京都,埼玉県,6164
2020,大阪府,兵庫県,5362
2020,茨城県,東京都,4837
2020,東京都,千葉県,4828
2020,岐阜県,愛知県,4557
2020,静岡県,東京都,3348
2020,京都府,大阪府,3267
2020,奈良県,大阪府,3157
2020,三重県,愛知県,2996
2020,滋賀県,京都府,2975
2020,兵庫県,京都府,2771
2020,栃木県,東京都,2405
2020,群馬県,東京都,2325
2020,北海道,東京都,2258
2020,長野県,東京都,2197
2020,静岡県,神奈川県,2104
2020,千葉県,神奈川県,2101
2020,静岡県,愛知県,2060
2020,埼玉県,千葉県,2047
2020,茨城県,千葉県,2018
2020,愛知県,東京都,1991
2020,埼玉県,神奈川県,1939
2020,新潟県,東京都,1846
2020,千葉県,埼玉県,1840
2020,和歌山県,大阪府,1766
2020,大阪府,奈良県,1595
2020,山梨県,東京都,1594
2020,奈良県,京都府,1562
2020,福島県,東京都,1469
2020,佐賀県,福岡県,1409
2020,群馬県,埼玉県,1392
2020,愛知県,岐阜県,1377
2020,滋賀県,大阪府,1351
2020,福岡県,東京都,1348
2020,熊本県,福岡県,1333
2020,大阪府,滋賀県,1321
2020,京都府,滋賀県,1318
2020,茨城県,埼玉県,1240
2020,栃木県,埼玉県,1218
2020,長崎県,福岡県,1208
2020,愛知県,京都府,1206
2020,宮城県,東京都,1183
2020,大阪府,東京都,1181
2020,鹿児島県,福岡県,1062
2020,大分県,福岡県,1046
2020,福島県,宮城県,1034
2020,茨城県,神奈川県,1018
2020,山口県,福岡県,1005
2020,富山県,石川県,990
2020,兵庫県,東京都,941
2020,長野県,神奈川県,939
2020,神奈川県,千葉県,912
2020,神奈川県,埼玉県,909
2020,広島県,東京都,896
2020,広島県,岡山県,872
2020,岩手県,宮城県,869
2020,広島県,大阪府,869
2020,山形県,宮城県,862
2020,宮崎県,福岡県,820
2020,新潟県,神奈川県,799
2020,兵庫県,岡山県,798
2020,沖縄県,東京都,778
2020,京都府,兵庫県,755
2020,山口県,広島県,747
2020,大阪府,和歌山県,740
2020,岡山県,大阪府,723
2020,愛知県,静岡県,716
2020,栃木県,神奈川県,714
2020,愛知県,三重県,713
2020,福岡県,山口県,704
2020,千葉県,茨城県,695
2020,福岡県,熊本県,695
2020,静岡県,千葉県,682
2020,長野県,埼玉県,681
2020,群馬県,神奈川県,680
2020,福岡県,佐賀県,676
2020,新潟県,埼玉県,668
2020,香川県,大阪府,665
2020,愛知県,大阪府,661
2020,青森県,宮城県,660
2020,北海道,神奈川県,659
2020,長野県,愛知県,657
2020,愛知県,神奈川県,654
2020,広島県,京都府,651
2020,香川県,岡山県,646
2020,岡山県,兵庫県,643
2020,埼玉県,群馬県,631
2020,三重県,大阪府,631
2020,山形県,東京都,627
2020,奈良県,兵庫県,622
2020,青森県,東京都,617
2020,山梨県,神奈川県,614
2020,広島県,福岡県,603
2020,栃木県,千葉県,590
2020,鹿児島県,東京都,585
2020,岡山県,広島県,581
2020,東京都,茨城県,575
2020,富山県,東京都,569
2020,宮城県,山形県,567
2020,静岡県,京都府,561
2020,福岡県,京都府,560
2020,愛媛県,広島県,559
2020,岐阜県,東京都,547
2020,広島県,兵庫県,530
2020,愛媛県,大阪府,530
2020,兵庫県,滋賀県,529
2020,福岡県,大阪府,529
2020,岡山県,東京都,528
2020,秋田県,宮城県,525
2020,茨城県,栃木県,523
2020,福島県,神奈川県,522
2020,東京都,北海道,519
2020,岩手県,東京都,517
2020,熊本県,東京都,512
2020,新潟県,千葉県,502
2020,石川県,東京都,501
2020,福岡県,長崎県,501
2020,東京都,京都府,497
2020,岡山県,京都府,494
2020,福島県,埼玉県,492
2020,京都府,東京都,483
2020,長野県,千葉県,476
2020,広島県,山口県,476
2020,東京都,山梨県,475
2020,島根県,広島県,474
2020,北海道,青森県,470
2020,福島県,千葉県,470
2020,三重県,京都府,470
2020,京都府,奈良県,462
2020,愛知県,滋賀県,459
2020,栃木県,群馬県,457
2020,香川県,兵庫県,456
2020,沖縄県,福岡県,456
2020,愛媛県,東京都,455
2020,三重県,東京都,454
2020,静岡県,埼玉県,451
2020,福井県,京都府,443
2020,愛媛県,岡山県,439
2020,和歌山県,京都府,435
2020,埼玉県,茨城県,432
2020,香川県,京都府,428
2020,福井県,石川県,419
2020,広島県,愛媛県,414
2020,福岡県,神奈川県,411
2020,秋田県,東京都,409
2020,福島県,栃木県,408
2020,長崎県,東京都,404
2020,宮城県,神奈川県,388
2020,和歌山県,兵庫県,385
2020,高知県,大阪府,383
2020,石川県,京都府,373
2020,石川県,富山県,371
2020,愛知県,兵庫県,371
2020,北海道,大阪府,366
2020,青森県,北海道,364
2020,宮崎県,東京都,363
2020,北海道,京都府,362
2020,北海道,埼玉県,361
2020,福井県,大阪府,355
2020,群馬県,千葉県,350
2020,静岡県,山梨県,346
2020,静岡県,大阪府,346
2020,山口県,東京都,346
2020,北海道,千葉県,341
2020,大阪府,神奈川県,340
2020,鹿児島県,熊本県,340
2020,富山県,愛知県,339
2020,奈良県,東京都,338
2020,徳島県,大阪府,337
2020,福島県,新潟県,329
2020,香川県,東京都,329
2020,石川県,大阪府,328
2020,愛媛県,兵庫県,328
2020,長野県,群馬県,327
2020,兵庫県,広島県,319
2020,福岡県,兵庫県,319
2020,長野県,山梨県,318
2020,岡山県,香川県,318
2020,福岡県,大分県,314
2020,長野県,石川県,310
2020,群馬県,栃木県,307
2020,大分県,東京都,306
2020,岐阜県,京都府,303
2020,福岡県,広島県,303
2020,山形県,新潟県,301
2020,新潟県,石川県,301
2020,兵庫県,奈良県,301
2020,愛知県,長野県,300
2020,兵庫県,鳥取県,300
2020,宮城県,千葉県,299
2020,佐賀県,東京都,299
2020,徳島県,兵庫県,296
2020,東京都,群馬県,293
2020,福井県,愛知県,293
2020,愛媛県,京都府,293
2020,宮城県,埼玉県,292
2020,長野県,新潟県,288
2020,鳥取県,大阪府,285
2020,埼玉県,栃木県,284
2020,岩手県,青森県,280
2020,宮崎県,熊本県,277
2020,茨城県,福島県,276
2020,広島県,神奈川県,276
2020,山形県,神奈川県,275
2020,福岡県,鹿児島県,274
2020,東京都,大阪府,273
2020,福井県,東京都,273
2020,岩手県,北海道,272
2020,東京都,宮城県,270
2020,兵庫県,徳島県,270
2020,神奈川県,北海道,269
2020,長野県,京都府,268
2020,神奈川県,山梨県,266
2020,香川県,広島県,265
2020,山口県,岡山県,264
2020,高知県,東京都,264
2020,兵庫県,神奈川県,263
2020,富山県,京都府,262
2020,愛知県,北海道,261
2020,山口県,大阪府,260
2020,宮城県,岩手県,257
2020,愛知県,福井県,256
2020,香川県,愛媛県,250
2020,沖縄県,大阪府,249
2020,岩手県,神奈川県,248
2020,石川県,愛知県,248
2020,愛知県,石川県,247
2020,富山県,神奈川県,246
2020,長崎県,熊本県,244
2020,茨城県,群馬県,243
2020,山梨県,千葉県,243
2020,埼玉県,北海道,241
2020,兵庫県,愛知県,241
2020,島根県,岡山県,241
2020,山梨県,埼玉県,240
2020,福島県,茨城県,238
2020,滋賀県,兵庫県,238
2020,北海道,兵庫県,237
2020,山形県,千葉県,236
2020,大分県,熊本県,236
2020,埼玉県,宮城県,235
2020,沖縄県,神奈川県,235
2020,島根県,大阪府,234
2020,兵庫県,福岡県,232
2020,宮崎県,鹿児島県,231
2020,愛知県,富山県,228
2020,熊本県,鹿児島県,228
2020,鳥取県,岡山県,227
2020,高知県,岡山県,227
2020,栃木県,福島県,225
2020,神奈川県,静岡県,224
2020,神奈川県,京都府,224
2020,高知県,兵庫県,224
2020,青森県,岩手県,222
2020,北海道,愛知県,220
2020,愛知県,千葉県,216
2020,大阪府,北海道,216
2020,愛媛県,福岡県,216
2020,奈良県,滋賀県,215
2020,栃木県,茨城県,214
2020,東京都,静岡県,214
2020,富山県,新潟県,214
2020,山口県,京都府,212
2020,岐阜県,大阪府,211
2020,和歌山県,東京都,210
2020,青森県,神奈川県,209
2020,千葉県,北海道,209
2020,秋田県,青森県,207
2020,大阪府,愛知県,206
2020,岡山県,福岡県,205
2020,宮崎県,大分県,205
2020,茨城県,宮城県,204
2020,鳥取県,兵庫県,204
2020,新潟県,群馬県,203
2020,愛知県,埼玉県,203
2020,宮城県,福島県,200
2020,群馬県,新潟県,200
2020,鹿児島県,宮崎県,200
2020,岐阜県,石川県,198
2020,佐賀県,長崎県,197
2020,大阪府,広島県,195
2020,鹿児島県,大阪府,195
2020,島根県,東京都,193
2020,岡山県,愛媛県,193
2020,徳島県,京都府,193
2020,長崎県,佐賀県,193
2020,青森県,千葉県,191
2020,山口県,兵庫県,190
2020,鳥取県,京都府,189
2020,広島県,島根県,189
2020,高知県,愛媛県,189
2020,静岡県,石川県,187
2020,香川県,徳島県,187
2020,北海道,宮城県,185
2020,山形県,埼玉県,185
2020,徳島県,東京都,185
2020,秋田県,北海道,184
2020,沖縄県,千葉県,184
2020,福島県,山形県,183
2020,栃木県,宮城県,183
2020,静岡県,兵庫県,183
2020,滋賀県,愛知県,183
2020,高知県,京都府,183
2020,鳥取県,広島県,182
2020,静岡県,長野県,181
2020,石川県,福井県,179
2020,徳島県,岡山県,179
2020,秋田県,新潟県,177
2020,熊本県,長崎県,176
2020,秋田県,岩手県,175
2020,岐阜県,滋賀県,175
2020,佐賀県,熊本県,174
2020,宮城県,北海道,173
2020,大阪府,福岡県,173
2020,熊本県,大阪府,171
2020,東京都,長野県,169
2020,岐阜県,神奈川県,169
2020,石川県,兵庫県,168
2020,鳥取県,東京都,168
