year,origin_prefecture,destination_prefecture,movers
2021,神奈川県,東京都,23058
2021,埼玉県,東京都,17761
2021,千葉県,東京都,13804
2021,東京都,神奈川県,9968
2021,兵庫県,大阪府,7715
2021,大阪府,京都府,7066
2021,東京都,埼玉県,5883
2021,大阪府,兵庫県,4927
2021,茨城県,東京都,4749
2021,岐阜県,愛知県,4584
2021,東京都,千葉県,4548
2021,静岡県,東京都,3200
2021,京都府,大阪府,3190
2021,奈良県,大阪府,3079
2021,滋賀県,京都府,2977
2021,三重県,愛知県,2925
2021,兵庫県,京都府,2803
2021,栃木県,東京都,2504
2021,千葉県,神奈川県,2201
2021,北海道,東京都,2184
2021,群馬県,東京都,2173
2021,長野県,東京都,2088
2021,静岡県,神奈川県,2045
2021,埼玉県,千葉県,2043
2021,茨城県,千葉県,2007
2021,愛知県,東京都,2007
2021,埼玉県,神奈川県,1991
2021,静岡県,愛知県,1964
2021,千葉県,埼玉県,1772
2021,和歌山県,大阪府,1710
2021,山梨県,東京都,1684
2021,奈良県,京都府,1592
2021,新潟県,東京都,1585
2021,大阪府,奈良県,1523
2021,佐賀県,福岡県,1426
2021,福岡県,東京都,1415
2021,愛知県,岐阜県,1348
2021,福島県,東京都,1329
2021,群馬県,埼玉県,1299
2021,熊本県,福岡県,1297
2021,京都府,滋賀県,1286
2021,滋賀県,大阪府,1283
2021,大阪府,滋賀県,1258
2021,茨城県,埼玉県,1256
2021,大阪府,東京都,1162
2021,愛知県,京都府,1159
2021,長崎県,福岡県,1150
2021,栃木県,埼玉県,1126
2021,宮城県,東京都,1115
2021,鹿児島県,福岡県,1070
2021,福島県,宮城県,1035
2021,茨城県,神奈川県,1010
2021,兵庫県,東京都,993
2021,大分県,福岡県,980
2021,神奈川県,千葉県,947
2021,富山県,石川県,935
2021,神奈川県,埼玉県,928
2021,山口県,福岡県,858
2021,広島県,大阪府,856
2021,沖縄県,東京都,843
2021,宮崎県,福岡県,827
2021,長野県,神奈川県,820
2021,広島県,岡山県,820
2021,京都府,兵庫県,789
2021,岩手県,宮城県,782
2021,広島県,東京都,770
2021,山形県,宮城県,766
2021,岡山県,大阪府,750
2021,大阪府,和歌山県,743
2021,愛知県,静岡県,717
2021,福岡県,佐賀県,710
2021,千葉県,茨城県,708
2021,愛知県,三重県,692
2021,山口県,広島県,685
2021,広島県,京都府,673
2021,栃木県,神奈川県,672
2021,長野県,愛知県,667
2021,愛知県,大阪府,666
2021,埼玉県,群馬県,665
2021,兵庫県,岡山県,665
2021,香川県,大阪府,645
2021,香川県,岡山県,645
2021,青森県,宮城県,633
2021,新潟県,神奈川県,633
2021,三重県,大阪府,629
2021,岡山県,兵庫県,629
2021,福岡県,山口県,629
2021,群馬県,神奈川県,626
2021,岡山県,広島県,621
2021,北海道,神奈川県,618
2021,福岡県,熊本県,615
2021,静岡県,千葉県,612
2021,山形県,東京都,596
2021,長野県,埼玉県,591
2021,静岡県,京都府,575
2021,茨城県,栃木県,561
2021,広島県,福岡県,560
2021,愛媛県,広島県,559
2021,東京都,北海道,557
2021,愛知県,神奈川県,557
2021,鹿児島県,東京都,555
2021,宮城県,山形県,554
2021,栃木県,千葉県,554
2021,奈良県,兵庫県,547
2021,福岡県,京都府,546
2021,富山県,東京都,543
2021,山梨県,神奈川県,542
2021,岡山県,東京都,541
2021,青森県,東京都,540
2021,岡山県,京都府,540
2021,岩手県,東京都,539
2021,東京都,茨城県,536
2021,島根県,広島県,536
2021,新潟県,埼玉県,532
2021,東京都,京都府,530
2021,岐阜県,東京都,525
2021,福島県,神奈川県,522
2021,広島県,兵庫県,516
2021,福岡県,大阪府,516
2021,秋田県,宮城県,512
2021,熊本県,東京都,512
