year,origin_prefecture,destination_prefecture,movers
2024,神奈川県,東京都,22609
2024,埼玉県,東京都,18604
2024,千葉県,東京都,14011
2024,東京都,神奈川県,10079
2024,兵庫県,大阪府,7362
2024,大阪府,京都府,6653
2024,茨城県,東京都,5628
2024,東京都,埼玉県,4874
2024,大阪府,兵庫県,4702
2024,東京都,千葉県,4525
2024,岐阜県,愛知県,4404
2024,静岡県,東京都,3268
2024,京都府,大阪府,3230
2024,滋賀県,京都府,3139
2024,奈良県,大阪府,2996
2024,三重県,愛知県,2767
2024,兵庫県,京都府,2589
2024,栃木県,東京都,2507
2024,長野県,東京都,2253
2024,茨城県,千葉県,2238
2024,千葉県,神奈川県,2146
2024,北海道,東京都,2145
2024,群馬県,東京都,2051
2024,愛知県,東京都,1996
2024,静岡県,愛知県,1981
2024,静岡県,神奈川県,1980
2024,埼玉県,千葉県,1886
2024,埼玉県,神奈川県,1841
2024,山梨県,東京都,1779
2024,新潟県,東京都,1696
2024,和歌山県,大阪府,1641
2024,千葉県,埼玉県,1593
2024,茨城県,埼玉県,1386
2024,奈良県,京都府,1386
2024,福岡県,東京都,1365
2024,福島県,東京都,1350
2024,京都府,滋賀県,1336
2024,沖縄県,東京都,1320
2024,佐賀県,福岡県,1313
2024,大阪府,奈良県,1272
2024,熊本県,福岡県,1242
2024,愛知県,京都府,1231
2024,愛知県,岐阜県,1201
2024,滋賀県,大阪府,1201
2024,大阪府,滋賀県,1178
2024,群馬県,埼玉県,1168
2024,宮城県,東京都,1167
2024,長崎県,福岡県,1160
2024,鹿児島県,福岡県,1138
2024,茨城県,神奈川県,1118
2024,栃木県,埼玉県,1117
2024,大阪府,東京都,1049
2024,福島県,宮城県,1021
2024,大分県,福岡県,1001
2024,長野県,神奈川県,962
2024,広島県,大阪府,959
2024,富山県,石川県,913
2024,山口県,福岡県,905
2024,兵庫県,東京都,873
2024,神奈川県,千葉県,862
2024,岩手県,宮城県,821
2024,宮崎県,福岡県,821
2024,広島県,岡山県,817
2024,大阪府,和歌山県,786
2024,山形県,宮城県,780
2024,岡山県,大阪府,779
2024,広島県,東京都,770
2024,香川県,大阪府,757
2024,広島県,京都府,726
2024,北海道,神奈川県,725
2024,神奈川県,埼玉県,724
2024,京都府,兵庫県,717
2024,愛知県,静岡県,698
2024,福岡県,佐賀県,692
2024,新潟県,神奈川県,686
2024,長野県,愛知県,678
2024,鹿児島県,東京都,675
2024,愛知県,大阪府,670
2024,山口県,広島県,663
2024,宮城県,山形県,659
2024,福岡県,熊本県,650
2024,三重県,大阪府,649
2024,長野県,埼玉県,648
2024,栃木県,神奈川県,639
2024,青森県,宮城県,625
2024,愛知県,神奈川県,616
2024,山梨県,神奈川県,605
2024,兵庫県,岡山県,605
2024,広島県,山口県,604
2024,山形県,東京都,598
2024,岡山県,兵庫県,593
2024,愛知県,三重県,585
2024,福岡県,京都府,585
2024,福岡県,山口県,581
2024,岡山県,東京都,574
2024,茨城県,栃木県,567
2024,岩手県,東京都,565
2024,香川県,岡山県,561
2024,福岡県,大阪府,560
2024,愛媛県,大阪府,554
2024,東京都,京都府,551
2024,青森県,東京都,550
2024,東京都,北海道,549
2024,熊本県,東京都,543
2024,広島県,兵庫県,541
2024,沖縄県,福岡県,534
2024,群馬県,神奈川県,533
2024,新潟県,埼玉県,524
2024,千葉県,茨城県,523
2024,奈良県,兵庫県,523
2024,岡山県,広島県,523
2024,広島県,福岡県,516
2024,静岡県,京都府,510
2024,静岡県,千葉県,506
2024,栃木県,千葉県,505
2024,岡山県,京都府,501
2024,秋田県,宮城県,497
2024,福島県,神奈川県,492
2024,富山県,東京都,488
2024,岐阜県,東京都,482
2024,福島県,埼玉県,481
2024,香川県,京都府,481
2024,東京都,山梨県,480
2024,香川県,兵庫県,480
2024,埼玉県,群馬県,476
2024,福井県,京都府,472
2024,沖縄県,大阪府,467
2024,福岡県,長崎県,465
2024,北海道,大阪府,464
2024,石川県,東京都,464
2024,三重県,京都府,460
2024,愛知県,滋賀県,459
2024,兵庫県,滋賀県,457
2024,福島県,千葉県,441
2024,北海道,京都府,437
2024,東京都,茨城県,433
2024,栃木県,群馬県,430
2024,島根県,広島県,430
2024,北海道,青森県,424
2024,奈良県,東京都,424
2024,和歌山県,京都府,424
2024,愛媛県,広島県,420
2024,広島県,愛媛県,419
2024,京都府,東京都,417
2024,沖縄県,神奈川県,416
2024,秋田県,東京都,397
2024,愛媛県,東京都,394
2024,長野県,千葉県,390
2024,徳島県,大阪府,390
2024,宮城県,神奈川県,387
2024,静岡県,大阪府,386
2024,静岡県,埼玉県,377
2024,北海道,埼玉県,375
2024,長崎県,東京都,373
2024,群馬県,千葉県,362
2024,福井県,大阪府,362
2024,石川県,京都府,359
2024,愛媛県,岡山県,359
2024,三重県,東京都,358
2024,新潟県,千葉県,353
2024,愛知県,兵庫県,353
2024,福岡県,大分県,353
2024,静岡県,山梨県,350
2024,宮崎県,東京都,348
2024,福井県,石川県,347
2024,石川県,富山県,343
2024,高知県,大阪府,341
2024,山形県,新潟県,340
2024,鹿児島県,熊本県,337
2024,富山県,愛知県,334
2024,北海道,千葉県,333
2024,福岡県,神奈川県,333
2024,京都府,奈良県,329
2024,佐賀県,東京都,328
2024,福島県,栃木県,327
2024,山口県,東京都,323
2024,岐阜県,京都府,322
2024,兵庫県,広島県,316
2024,宮城県,埼玉県,313
2024,東京都,宮城県,311
2024,長野県,新潟県,311
2024,石川県,大阪府,310
2024,鳥取県,大阪府,310
2024,島根県,大阪府,310
2024,兵庫県,徳島県,308
2024,岡山県,香川県,304
2024,山口県,大阪府,304
2024,福島県,新潟県,303
2024,愛媛県,兵庫県,302
2024,長野県,群馬県,299
2024,兵庫県,鳥取県,299
2024,愛媛県,京都府,299
2024,和歌山県,兵庫県,298
2024,香川県,東京都,295
2024,福岡県,兵庫県,295
2024,長野県,石川県,294
2024,愛知県,北海道,291
2024,埼玉県,茨城県,290
2024,神奈川県,北海道,290
2024,大阪府,神奈川県,287
2024,山形県,神奈川県,286
2024,北海道,兵庫県,284
2024,青森県,北海道,283
2024,新潟県,石川県,283
2024,愛知県,長野県,281
2024,沖縄県,京都府,281
2024,東京都,大阪府,280
2024,岡山県,福岡県,279
2024,宮崎県,熊本県,271
2024,愛知県,富山県,270
2024,富山県,京都府,269
2024,福岡県,広島県,269
2024,大分県,東京都,269
2024,長野県,山梨県,268
2024,鹿児島県,大阪府,267
2024,群馬県,栃木県,266
2024,福井県,東京都,266
2024,兵庫県,愛知県,265
2024,兵庫県,奈良県,263
2024,高知県,東京都,261
2024,北海道,愛知県,260
2024,福井県,愛知県,260
2024,長野県,京都府,256
2024,長崎県,熊本県,252
2024,大分県,熊本県,250
2024,茨城県,宮城県,249
2024,兵庫県,福岡県,248
2024,宮城県,千葉県,245
2024,山口県,京都府,244
2024,山梨県,埼玉県,241
2024,鳥取県,兵庫県,237
2024,山梨県,千葉県,235
2024,沖縄県,兵庫県,233
2024,茨城県,福島県,232
2024,徳島県,兵庫県,232
2024,鹿児島県,京都府,232
2024,富山県,大阪府,230
2024,岐阜県,滋賀県,230
2024,岩手県,北海道,229
2024,宮城県,岩手県,228
2024,鳥取県,京都府,228
2024,沖縄県,愛知県,226
2024,神奈川県,山梨県,224
2024,沖縄県,千葉県,222
2024,宮崎県,鹿児島県,221
2024,埼玉県,北海道,219
2024,大阪府,北海道,219
2024,広島県,島根県,219
2024,徳島県,京都府,217
2024,兵庫県,神奈川県,215
2024,埼玉県,宮城県,213
2024,岐阜県,大阪府,213
2024,愛知県,福井県,213
2024,香川県,広島県,213
2024,愛知県,石川県,212
2024,滋賀県,兵庫県,211
2024,高知県,兵庫県,211
2024,岩手県,青森県,210
2024,静岡県,長野県,209
2024,青森県,神奈川県,208
2024,秋田県,新潟県,208
2024,福島県,茨城県,208
2024,愛媛県,福岡県,207
2024,神奈川県,京都府,206
2024,山形県,千葉県,205
2024,石川県,愛知県,204
2024,兵庫県,高知県,204
2024,広島県,神奈川県,204
2024,鹿児島県,神奈川県,204
2024,栃木県,茨城県,203
2024,千葉県,北海道,201
2024,沖縄県,埼玉県,201
2024,北海道,宮城県,200
2024,岩手県,神奈川県,200
2024,埼玉県,栃木県,200
2024,香川県,愛媛県,200
2024,高知県,京都府,200
2024,福岡県,鹿児島県,200
2024,熊本県,鹿児島県,199
2024,富山県,新潟県,198
2024,熊本県,神奈川県,198
2024,茨城県,群馬県,196
2024,宮城県,福島県,195
2024,青森県,岩手県,193
2024,福島県,山形県,193
2024,高知県,愛媛県,193
2024,島根県,岡山県,192
2024,大阪府,愛知県,191
2024,愛知県,千葉県,190
2024,奈良県,滋賀県,190
2024,山口県,兵庫県,190
2024,佐賀県,長崎県,189
2024,東京都,静岡県,188
2024,岡山県,山口県,188
2024,群馬県,新潟県,186
2024,栃木県,福島県,184
2024,兵庫県,北海道,184
2024,鹿児島県,宮崎県,183
2024,山梨県,愛知県,182
2024,山口県,岡山県,182
2024,宮崎県,大分県,182
2024,青森県,千葉県,181
2024,鳥取県,岡山県,181
2024,新潟県,群馬県,180
2024,茨城県,北海道,179
2024,愛知県,埼玉県,179
2024,島根県,東京都,179
2024,東京都,群馬県,175
2024,大分県,山口県,174
2024,茨城県,京都府,173
2024,秋田県,青森県,172
2024,茨城県,大阪府,172
2024,静岡県,北海道,172
2024,富山県,神奈川県,171
2024,岡山県,愛媛県,171
2024,高知県,岡山県,171
2024,三重県,兵庫県,170
2024,東京都,長野県,169
2024,神奈川県,茨城県,169
2024,神奈川県,静岡県,168
2024,静岡県,兵庫県,168
2024,長野県,大阪府,166
2024,熊本県,京都府,166
2024,岡山県,神奈川県,164
2024,岡山県,島根県,163
2024,徳島県,東京都,163
2024,大分県,長崎県,163
2024,愛媛県,高知県,162
2024,宮城県,北海道,161
2024,岐阜県,神奈川県,161
2024,鹿児島県,兵庫県,161
2024,茨城県,愛知県,160
2024,青森県,埼玉県,159
2024,岐阜県,石川県,159
2024,和歌山県,東京都,159
