year,origin_prefecture,destination_prefecture,movers
2022,神奈川県,東京都,23617
2022,埼玉県,東京都,18027
2022,千葉県,東京都,14177
2022,東京都,神奈川県,10283
2022,兵庫県,大阪府,7564
2022,大阪府,京都府,7151
2022,東京都,埼玉県,5720
2022,茨城県,東京都,5030
2022,大阪府,兵庫県,4989
2022,東京都,千葉県,4770
2022,岐阜県,愛知県,4593
2022,静岡県,東京都,3284
2022,京都府,大阪府,3232
2022,滋賀県,京都府,3121
2022,奈良県,大阪府,3110
2022,三重県,愛知県,2936
2022,兵庫県,京都府,2831
2022,栃木県,東京都,2497
2022,千葉県,神奈川県,2263
2022,群馬県,東京都,2251
2022,北海道,東京都,2159
2022,茨城県,千葉県,2132
2022,静岡県,愛知県,2115
2022,埼玉県,千葉県,2109
2022,長野県,東京都,2101
2022,埼玉県,神奈川県,2058
2022,愛知県,東京都,1997
2022,静岡県,神奈川県,1975
2022,千葉県,埼玉県,1877
2022,新潟県,東京都,1763
2022,和歌山県,大阪府,1724
2022,山梨県,東京都,1708
2022,奈良県,京都府,1623
2022,大阪府,奈良県,1455
2022,福岡県,東京都,1401
2022,京都府,滋賀県,1363
2022,福島県,東京都,1345
2022,佐賀県,福岡県,1341
2022,群馬県,埼玉県,1325
2022,愛知県,岐阜県,1303
2022,茨城県,埼玉県,1294
2022,愛知県,京都府,1251
2022,大阪府,滋賀県,1241
2022,熊本県,福岡県,1233
2022,滋賀県,大阪府,1203
2022,大阪府,東京都,1179
2022,宮城県,東京都,1170
2022,長崎県,福岡県,1157
2022,沖縄県,東京都,1151
2022,鹿児島県,福岡県,1132
2022,栃木県,埼玉県,1109
2022,茨城県,神奈川県,1077
2022,大分県,福岡県,1040
2022,福島県,宮城県,986
2022,神奈川県,千葉県,944
2022,広島県,岡山県,941
2022,兵庫県,東京都,923
2022,富山県,石川県,922
2022,岩手県,宮城県,907
2022,広島県,東京都,906
2022,長野県,神奈川県,902
2022,広島県,大阪府,865
2022,神奈川県,埼玉県,860
2022,山口県,福岡県,852
2022,宮崎県,福岡県,837
2022,山形県,宮城県,819
2022,大阪府,和歌山県,790
2022,京都府,兵庫県,774
2022,岡山県,大阪府,735
2022,山口県,広島県,723
2022,新潟県,神奈川県,722
2022,栃木県,神奈川県,716
2022,広島県,京都府,714
2022,兵庫県,岡山県,699
2022,愛知県,大阪府,696
2022,福岡県,熊本県,689
2022,長野県,愛知県,687
2022,北海道,神奈川県,684
2022,埼玉県,群馬県,684
2022,愛知県,静岡県,679
2022,福岡県,佐賀県,665
2022,三重県,大阪府,653
2022,岡山県,東京都,652
2022,茨城県,栃木県,646
2022,福岡県,山口県,629
2022,愛知県,三重県,628
2022,香川県,岡山県,627
2022,山形県,東京都,616
2022,香川県,大阪府,616
2022,青森県,宮城県,610
2022,岡山県,兵庫県,609
2022,静岡県,千葉県,608
2022,群馬県,神奈川県,606
2022,長野県,埼玉県,602
2022,愛知県,神奈川県,600
2022,宮城県,山形県,599
2022,福岡県,大阪府,597
2022,岡山県,京都府,596
2022,青森県,東京都,591
2022,福岡県,京都府,587
2022,山梨県,神奈川県,584
2022,鹿児島県,東京都,583
2022,奈良県,兵庫県,577
2022,愛媛県,広島県,555
2022,静岡県,京都府,552
2022,広島県,福岡県,550
2022,岩手県,東京都,544
2022,東京都,京都府,540
2022,熊本県,東京都,539
2022,新潟県,埼玉県,531
2022,三重県,京都府,530
2022,岐阜県,東京都,529
2022,岡山県,広島県,528
2022,福井県,京都府,526
2022,富山県,東京都,523
2022,島根県,広島県,522
2022,栃木県,千葉県,518
2022,広島県,山口県,516
2022,広島県,兵庫県,515
2022,福島県,神奈川県,511
2022,香川県,兵庫県,504
2022,福島県,埼玉県,500
2022,秋田県,宮城県,495
2022,東京都,北海道,491
2022,沖縄県,福岡県,491
2022,千葉県,茨城県,486
2022,東京都,茨城県,481
2022,北海道,大阪府,478
2022,愛知県,滋賀県,478
2022,東京都,山梨県,471
2022,愛媛県,大阪府,466
2022,福島県,千葉県,464
2022,栃木県,群馬県,463
2022,福岡県,長崎県,460
2022,石川県,東京都,458
2022,香川県,京都府,448
2022,和歌山県,京都府,445
2022,愛媛県,東京都,438
2022,三重県,東京都,433
2022,北海道,京都府,421
2022,長野県,千葉県,419
2022,兵庫県,滋賀県,419
2022,宮城県,神奈川県,408
2022,長崎県,東京都,408
2022,静岡県,埼玉県,405
2022,京都府,東京都,400
2022,愛媛県,岡山県,400
2022,沖縄県,大阪府,397
2022,秋田県,東京都,391
2022,北海道,青森県,389
2022,京都府,奈良県,389
2022,愛知県,兵庫県,383
2022,新潟県,千葉県,382
2022,奈良県,東京都,376
2022,鹿児島県,熊本県,372
2022,北海道,埼玉県,371
2022,石川県,京都府,371
2022,静岡県,大阪府,371
2022,福岡県,神奈川県,369
2022,広島県,愛媛県,368
2022,宮崎県,東京都,368
2022,青森県,北海道,366
2022,群馬県,千葉県,362
2022,福島県,栃木県,360
2022,岐阜県,京都府,356
2022,佐賀県,東京都,354
2022,石川県,大阪府,353
2022,愛媛県,京都府,344
2022,愛媛県,兵庫県,344
2022,北海道,千葉県,341
2022,福島県,新潟県,341
2022,福岡県,兵庫県,341
2022,富山県,愛知県,338
2022,石川県,富山県,332
2022,静岡県,山梨県,331
2022,香川県,東京都,330
2022,和歌山県,兵庫県,326
2022,長野県,新潟県,325
2022,福井県,石川県,319
2022,宮城県,埼玉県,316
2022,長野県,石川県,315
2022,岡山県,香川県,315
2022,福井県,大阪府,314
2022,兵庫県,広島県,313
2022,長野県,群馬県,312
2022,兵庫県,鳥取県,311
2022,徳島県,大阪府,311
2022,山形県,新潟県,309
2022,山口県,東京都,308
2022,茨城県,福島県,304
2022,新潟県,石川県,302
2022,大阪府,神奈川県,302
2022,沖縄県,神奈川県,301
2022,兵庫県,徳島県,300
2022,埼玉県,茨城県,296
2022,福井県,愛知県,294
2022,山形県,神奈川県,289
2022,福岡県,大分県,286
2022,宮崎県,熊本県,286
2022,愛知県,北海道,285
2022,徳島県,兵庫県,285
2022,福井県,東京都,284
2022,長野県,山梨県,284
2022,高知県,大阪府,284
2022,大分県,東京都,280
2022,福岡県,広島県,279
2022,兵庫県,奈良県,278
2022,香川県,広島県,278
