prefecture,year,graduates,university,senmon,senshu_general,training,employed,other,unknown,university_rate,employed_rate
北海道,2016,42836,18567,9575,1892,305,10513,1977,7,0.433444,0.245424
青森県,2016,12242,5344,1868,375,214,4042,386,13,0.43653,0.330175
岩手県,2016,11390,5033,2166,440,197,3300,253,1,0.441879,0.289728
宮城県,2016,19587,9693,3020,1041,221,4917,682,13,0.494869,0.251034
秋田県,2016,8695,3879,1569,279,72,2592,304,0,0.446118,0.298102
山形県,2016,10204,4577,1909,362,164,3069,123,0,0.44855,0.300764
福島県,2016,17387,7950,3217,603,114,5080,421,2,0.457238,0.292172
茨城県,2016,25475,12888,4616,1119,213,5677,962,0,0.505908,0.222846
栃木県,2016,17554,9137,3041,288,177,4098,813,0,0.520508,0.233451
群馬県,2016,17065,8980,2962,869,200,3455,597,2,0.526223,0.202461
埼玉県,2016,57150,32513,9791,3374,200,8875,2397,0,0.568906,0.155293
千葉県,2016,48944,27451,8734,3909,104,7312,1429,5,0.560865,0.149395
東京都,2016,100422,66778,12395,5649,278,7546,7715,61,0.664974,0.075143
神奈川県,2016,65311,40157,10455,2331,384,6377,5602,5,0.614858,0.097641
新潟県,2016,19479,9091,5010,645,235,3935,562,1,0.466708,0.202012
富山県,2016,9161,4762,1512,516,128,2116,127,0,0.519812,0.230979
石川県,2016,10203,5578,1404,323,96,2313,489,0,0.546702,0.226698
福井県,2016,7348,4119,1056,172,31,1713,255,2,0.560561,0.233125
山梨県,2016,8595,4844,1562,428,94,1498,169,0,0.563583,0.174287
長野県,2016,18907,9245,4039,1189,89,3546,798,1,0.488972,0.18755
岐阜県,2016,18029,9941,2406,769,93,4449,370,1,0.551389,0.246769
静岡県,2016,32058,17007,5388,1105,158,7278,1120,2,0.530507,0.227026
愛知県,2016,63579,37350,8195,3452,82,12634,1855,11,0.587458,0.198713
三重県,2016,15952,8057,2374,640,90,4346,445,0,0.505078,0.272442
滋賀県,2016,12656,6958,2114,509,84,2453,537,1,0.549779,0.193821
京都府,2016,22813,15161,3128,1181,89,2139,1111,4,0.664577,0.093762
大阪府,2016,74413,45013,10949,4727,156,9568,3978,22,0.604908,0.12858
兵庫県,2016,46229,28026,6417,3018,98,7149,1520,1,0.606243,0.154643
奈良県,2016,11962,7046,1685,978,11,1524,718,0,0.589032,0.127403
和歌山県,2016,8904,4410,1620,440,52,2026,356,0,0.495283,0.227538
鳥取県,2016,4900,2130,924,463,61,1243,77,2,0.434694,0.253673
島根県,2016,5905,2780,1247,251,68,1354,204,1,0.470787,0.229297
岡山県,2016,17534,8863,2960,718,93,4248,652,0,0.505475,0.242272
広島県,2016,23468,14069,3055,1988,157,3759,435,5,0.599497,0.160176
山口県,2016,11286,4821,1913,732,86,3468,266,0,0.427166,0.307283
徳島県,2016,6331,3272,1104,239,76,1504,136,0,0.516822,0.237561
香川県,2016,8537,4317,1414,643,85,1684,392,2,0.505681,0.197259
愛媛県,2016,11581,6049,2259,382,41,2696,154,0,0.522321,0.232795
高知県,2016,6181,2929,1106,728,95,1141,181,1,0.473872,0.184598
福岡県,2016,41980,22836,6156,3123,138,7884,1822,21,0.543973,0.187804
佐賀県,2016,8254,3552,1388,582,58,2563,109,2,0.430337,0.310516
長崎県,2016,12915,5757,2095,642,172,3941,306,2,0.445761,0.305149
熊本県,2016,15719,7256,2922,1052,54,4062,368,5,0.461607,0.258413
大分県,2016,10343,4798,2118,308,69,2813,235,2,0.463889,0.271971
宮崎県,2016,10620,4804,1826,671,48,3090,177,4,0.452354,0.29096
鹿児島県,2016,14928,6370,2933,985,197,4107,336,0,0.426715,0.275121
沖縄県,2016,14234,5580,3799,328,232,2430,1862,3,0.392019,0.170718
