prefecture,year,entrants_total,national,public,private
奈良県,2018,5185,793,366,4026
和歌山県,2018,1706,938,181,587
鳥取県,2018,1558,1178,291,89
島根県,2018,1701,1203,498,0
岡山県,2018,9286,2271,456,6559
広島県,2018,13547,2440,1626,9481
山口県,2018,4518,2019,1166,1333
徳島県,2018,2686,1422,0,1264
香川県,2018,2122,1287,90,745
愛媛県,2018,3867,1868,100,1899
高知県,2018,2081,1129,952,0
福岡県,2018,26345,4236,2072,20037
佐賀県,2018,1888,1367,0,521
長崎県,2018,3956,1703,723,1530
熊本県,2018,5965,1742,528,3695
大分県,2018,3117,1125,83,1909
宮崎県,2018,2273,1058,309,906
鹿児島県,2018,3598,2145,0,1453
沖縄県,2018,4250,1584,676,1990
北海道,2019,19367,5815,1413,12139
青森県,2019,3430,1371,555,1504
岩手県,2019,2547,1081,465,1001
宮城県,2019,12119,2811,450,8858
秋田県,2019,2075,991,682,402
山形県,2019,2875,1740,147,988
福島県,2019,3273,980,467,1826
茨城県,2019,7368,3891,173,3304
栃木県,2019,4985,962,0,4023
群馬県,2019,7044,1144,1607,4293
埼玉県,2019,30338,1611,402,28325
千葉県,2019,27862,2662,180,25020
東京都,2019,150195,10154,1656,138385
神奈川県,2019,47179,1714,1226,44239
新潟県,2019,6314,2570,612,3132
富山県,2019,2608,1828,478,302
石川県,2019,6713,1775,612,4326
福井県,2019,2407,875,463,1069
山梨県,2019,4417,855,1135,2427
長野県,2019,4004,2039,983,982
岐阜県,2019,4916,1293,213,3410
静岡県,2019,8450,2174,1026,5250
愛知県,2019,42612,4153,1844,36615
三重県,2019,3360,1359,100,1901
滋賀県,2019,7379,970,639,5770
京都府,2019,33997,3844,1004,29149
大阪府,2019,54185,4269,2943,46973
兵庫県,2019,28002,2792,1891,23319
奈良県,2019,5210,798,356,4056
和歌山県,2019,1802,944,180,678
鳥取県,2019,1546,1179,299,68
島根県,2019,1675,1197,478,0
岡山県,2019,9672,2274,589,6809
広島県,2019,13599,2472,1642,9485
山口県,2019,4590,1968,1260,1362
徳島県,2019,2757,1433,0,1324
香川県,2019,2163,1278,92,793
愛媛県,2019,3782,1824,101,1857
高知県,2019,2179,1129,918,132
福岡県,2019,26851,4237,2138,20476
佐賀県,2019,1802,1350,0,452
長崎県,2019,4027,1685,709,1633
熊本県,2019,6171,1739,514,3918
大分県,2019,3204,1121,80,2003
宮崎県,2019,2308,1066,313,929
鹿児島県,2019,3650,2145,0,1505
沖縄県,2019,4264,1574,677,2013
北海道,2020,19488,5751,1427,12310
青森県,2020,3455,1375,555,1525
岩手県,2020,2623,1087,466,1070
宮城県,2020,12009,2785,446,8778
秋田県,2020,2048,980,685,383
山形県,2020,2808,1701,144,963
福島県,2020,3334,974,455,1905
茨城県,2020,7302,3847,174,3281
栃木県,2020,4947,948,0,3999
群馬県,2020,7083,1132,1607,4344
埼玉県,2020,30023,1590,400,28033
千葉県,2020,27609,2660,181,24768
東京都,2020,151714,10127,1629,139958
神奈川県,2020,46894,1719,1176,43999
新潟県,2020,6605,2534,735,3336
富山県,2020,2568,1822,477,269
石川県,2020,6793,1781,603,4409
福井県,2020,2454,871,490,1093
山梨県,2020,4323,842,1110,2371
長野県,2020,4008,2031,994,983
岐阜県,2020,5051,1277,198,3576
静岡県,2020,8281,2179,1021,5081
愛知県,2020,43014,4118,1845,37051
三重県,2020,3374,1340,103,1931
滋賀県,2020,7630,957,625,6048
京都府,2020,34470,3828,1072,29570
大阪府,2020,56154,4259,2917,48978
兵庫県,2020,28145,2771,1837,23537
奈良県,2020,5140,764,348,4028
和歌山県,2020,1868,906,181,781
鳥取県,2020,1572,1179,306,87
島根県,2020,1692,1210,482,0
岡山県,2020,9566,2267,571,6728
広島県,2020,13477,2418,1577,9482
山口県,2020,4568,1959,1132,1477
徳島県,2020,2707,1413,0,1294
香川県,2020,2134,1263,90,781
愛媛県,2020,3927,1830,102,1995
高知県,2020,2242,1103,907,232
福岡県,2020,26818,4221,2070,20527
佐賀県,2020,1826,1326,0,500
長崎県,2020,4029,1668,716,1645
熊本県,2020,5776,1711,509,3556
大分県,2020,3207,1084,80,2043
宮崎県,2020,2314,1067,316,931
鹿児島県,2020,3682,2127,0,1555
沖縄県,2020,4251,1563,680,2008
北海道,2021,18996,5756,1434,11806
青森県,2021,3407,1371,549,1487
岩手県,2021,2544,1068,473,1003
宮城県,2021,11713,2779,453,8481
秋田県,2021,2075,985,694,396
山形県,2021,2792,1690,148,954
福島県,2021,3451,991,605,1855
茨城県,2021,7122,3829,171,3122
栃木県,2021,4823,929,0,3894
群馬県,2021,7015,1142,1551,4322
埼玉県,2021,28616,1598,406,26612
千葉県,2021,26976,2635,180,24161
東京都,2021,152840,10055,1592,141193
神奈川県,2021,45619,1697,1174,42748
新潟県,2021,6592,2547,826,3219
富山県,2021,2588,1832,480,276
石川県,2021,6492,1764,620,4108
福井県,2021,2362,895,485,982
山梨県,2021,4245,851,1075,2319
長野県,2021,4163,2023,1007,1133
岐阜県,2021,4825,1265,220,3340
静岡県,2021,7970,2166,1051,4753
愛知県,2021,42461,4092,1830,36539
